gvkey,iid,datadate,conm,curcdd,prccd,exchg,isin,sedol,cik
019661,01W,20150101,TOYOTA MOTOR CORP,JPY,7558.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150102,TOYOTA MOTOR CORP,JPY,7558.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150105,TOYOTA MOTOR CORP,JPY,7507.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150106,TOYOTA MOTOR CORP,JPY,7300.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150107,TOYOTA MOTOR CORP,JPY,7407.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150108,TOYOTA MOTOR CORP,JPY,7554.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150109,TOYOTA MOTOR CORP,JPY,7609.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150112,TOYOTA MOTOR CORP,JPY,7609.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150113,TOYOTA MOTOR CORP,JPY,7519.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150114,TOYOTA MOTOR CORP,JPY,7396.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150115,TOYOTA MOTOR CORP,JPY,7526.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150116,TOYOTA MOTOR CORP,JPY,7514.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150119,TOYOTA MOTOR CORP,JPY,7465.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150120,TOYOTA MOTOR CORP,JPY,7659.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150121,TOYOTA MOTOR CORP,JPY,7588.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150122,TOYOTA MOTOR CORP,JPY,7585.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150123,TOYOTA MOTOR CORP,JPY,7685.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150126,TOYOTA MOTOR CORP,JPY,7725.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150127,TOYOTA MOTOR CORP,JPY,7825.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150128,TOYOTA MOTOR CORP,JPY,7818.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150129,TOYOTA MOTOR CORP,JPY,7729.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150130,TOYOTA MOTOR CORP,JPY,7645.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150202,TOYOTA MOTOR CORP,JPY,7660.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150203,TOYOTA MOTOR CORP,JPY,7550.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150204,TOYOTA MOTOR CORP,JPY,7728.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150205,TOYOTA MOTOR CORP,JPY,7654.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150206,TOYOTA MOTOR CORP,JPY,7623.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150209,TOYOTA MOTOR CORP,JPY,7700.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150210,TOYOTA MOTOR CORP,JPY,7713.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150211,TOYOTA MOTOR CORP,JPY,7713.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150212,TOYOTA MOTOR CORP,JPY,7851.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150213,TOYOTA MOTOR CORP,JPY,7808.0000,264,JP3633400001,6900643,0001094517
