gvkey,iid,datadate,tic,conm,prccd
001891,01,01/02/2014,ADP,AUTOMATIC DATA PROCESSING,79.8600
001891,01,01/03/2014,ADP,AUTOMATIC DATA PROCESSING,80.7300
001891,01,01/06/2014,ADP,AUTOMATIC DATA PROCESSING,79.8100
001891,01,01/07/2014,ADP,AUTOMATIC DATA PROCESSING,80.7800
001891,01,01/08/2014,ADP,AUTOMATIC DATA PROCESSING,80.3500
001891,01,01/09/2014,ADP,AUTOMATIC DATA PROCESSING,80.6300
001891,01,01/10/2014,ADP,AUTOMATIC DATA PROCESSING,80.3500
001891,01,01/13/2014,ADP,AUTOMATIC DATA PROCESSING,79.0500
001891,01,01/14/2014,ADP,AUTOMATIC DATA PROCESSING,79.9500
001891,01,01/15/2014,ADP,AUTOMATIC DATA PROCESSING,80.0900
001891,01,01/16/2014,ADP,AUTOMATIC DATA PROCESSING,79.8100
001891,01,01/17/2014,ADP,AUTOMATIC DATA PROCESSING,79.9700
001891,01,01/21/2014,ADP,AUTOMATIC DATA PROCESSING,80.3200
001891,01,01/22/2014,ADP,AUTOMATIC DATA PROCESSING,80.3800
001891,01,01/23/2014,ADP,AUTOMATIC DATA PROCESSING,79.3100
001891,01,01/24/2014,ADP,AUTOMATIC DATA PROCESSING,76.9700
001891,01,01/27/2014,ADP,AUTOMATIC DATA PROCESSING,76.5000
001891,01,01/28/2014,ADP,AUTOMATIC DATA PROCESSING,77.0300
001891,01,01/29/2014,ADP,AUTOMATIC DATA PROCESSING,76.5300
001891,01,01/30/2014,ADP,AUTOMATIC DATA PROCESSING,77.3000
001891,01,01/31/2014,ADP,AUTOMATIC DATA PROCESSING,76.6000
001891,01,02/03/2014,ADP,AUTOMATIC DATA PROCESSING,74.0800
001891,01,02/04/2014,ADP,AUTOMATIC DATA PROCESSING,74.9500
001891,01,02/05/2014,ADP,AUTOMATIC DATA PROCESSING,73.5300
001891,01,02/06/2014,ADP,AUTOMATIC DATA PROCESSING,74.2000
001891,01,02/07/2014,ADP,AUTOMATIC DATA PROCESSING,74.8900
001891,01,02/10/2014,ADP,AUTOMATIC DATA PROCESSING,74.4500
001891,01,02/11/2014,ADP,AUTOMATIC DATA PROCESSING,74.6600
001891,01,02/12/2014,ADP,AUTOMATIC DATA PROCESSING,75.5800
001891,01,02/13/2014,ADP,AUTOMATIC DATA PROCESSING,76.2100
001891,01,02/14/2014,ADP,AUTOMATIC DATA PROCESSING,76.2700
001891,01,02/18/2014,ADP,AUTOMATIC DATA PROCESSING,76.4900
001891,01,02/19/2014,ADP,AUTOMATIC DATA PROCESSING,76.1500
001891,01,02/20/2014,ADP,AUTOMATIC DATA PROCESSING,76.5100
001891,01,02/21/2014,ADP,AUTOMATIC DATA PROCESSING,76.2000
001891,01,02/24/2014,ADP,AUTOMATIC DATA PROCESSING,76.8000
