gvkey,iid,datadate,tic,conm,prccd
003226,01,01/02/2014,CMCSA,COMCAST CORP,51.4500
003226,01,01/03/2014,CMCSA,COMCAST CORP,51.0700
003226,01,01/06/2014,CMCSA,COMCAST CORP,51.0200
003226,01,01/07/2014,CMCSA,COMCAST CORP,52.8300
003226,01,01/08/2014,CMCSA,COMCAST CORP,52.7500
003226,01,01/09/2014,CMCSA,COMCAST CORP,52.8800
003226,01,01/10/2014,CMCSA,COMCAST CORP,53.5400
003226,01,01/13/2014,CMCSA,COMCAST CORP,52.1600
003226,01,01/14/2014,CMCSA,COMCAST CORP,52.8100
003226,01,01/15/2014,CMCSA,COMCAST CORP,54.0700
003226,01,01/16/2014,CMCSA,COMCAST CORP,53.5400
003226,01,01/17/2014,CMCSA,COMCAST CORP,53.5400
003226,01,01/21/2014,CMCSA,COMCAST CORP,53.3100
003226,01,01/22/2014,CMCSA,COMCAST CORP,53.7400
003226,01,01/23/2014,CMCSA,COMCAST CORP,53.0800
003226,01,01/24/2014,CMCSA,COMCAST CORP,52.4000
003226,01,01/27/2014,CMCSA,COMCAST CORP,52.4900
003226,01,01/28/2014,CMCSA,COMCAST CORP,53.3500
003226,01,01/29/2014,CMCSA,COMCAST CORP,53.0600
003226,01,01/30/2014,CMCSA,COMCAST CORP,54.1900
003226,01,01/31/2014,CMCSA,COMCAST CORP,54.4500
003226,01,02/03/2014,CMCSA,COMCAST CORP,52.7700
003226,01,02/04/2014,CMCSA,COMCAST CORP,53.5200
003226,01,02/05/2014,CMCSA,COMCAST CORP,53.3800
003226,01,02/06/2014,CMCSA,COMCAST CORP,54.0300
003226,01,02/07/2014,CMCSA,COMCAST CORP,54.6400
003226,01,02/10/2014,CMCSA,COMCAST CORP,54.3500
003226,01,02/11/2014,CMCSA,COMCAST CORP,55.0000
003226,01,02/12/2014,CMCSA,COMCAST CORP,55.2400
003226,01,02/13/2014,CMCSA,COMCAST CORP,52.9650
003226,01,02/14/2014,CMCSA,COMCAST CORP,53.7000
003226,01,02/18/2014,CMCSA,COMCAST CORP,53.5300
003226,01,02/19/2014,CMCSA,COMCAST CORP,51.5700
003226,01,02/20/2014,CMCSA,COMCAST CORP,51.7600
003226,01,02/21/2014,CMCSA,COMCAST CORP,51.0500
003226,01,02/24/2014,CMCSA,COMCAST CORP,51.1500
003226,01,02/25/2014,CMCSA,COMCAST CORP,50.7700
003226,01,02/26/2014,CMCSA,COMCAST CORP,50.6800
003226,01,02/27/2014,CMCSA,COMCAST CORP,51.0800
003226,01,02/28/2014,CMCSA,COMCAST CORP,51.6900
003226,01,03/03/2014,CMCSA,COMCAST CORP,51.0000
003226,01,03/04/2014,CMCSA,COMCAST CORP,51.3600
003226,01,03/05/2014,CMCSA,COMCAST CORP,51.8900
003226,01,03/06/2014,CMCSA,COMCAST CORP,52.1100
003226,01,03/07/2014,CMCSA,COMCAST CORP,51.6300
003226,01,03/10/2014,CMCSA,COMCAST CORP,51.5200
003226,01,03/11/2014,CMCSA,COMCAST CORP,51.2200
003226,01,03/12/2014,CMCSA,COMCAST CORP,50.9800
003226,01,03/13/2014,CMCSA,COMCAST CORP,50.4600
003226,01,03/14/2014,CMCSA,COMCAST CORP,50.6400
003226,01,03/17/2014,CMCSA,COMCAST CORP,50.7800
003226,01,03/18/2014,CMCSA,COMCAST CORP,50.2200
003226,01,03/19/2014,CMCSA,COMCAST CORP,49.8800
003226,01,03/20/2014,CMCSA,COMCAST CORP,50.6050
003226,01,03/21/2014,CMCSA,COMCAST CORP,50.0000
003226,01,03/24/2014,CMCSA,COMCAST CORP,50.3000
003226,01,03/25/2014,CMCSA,COMCAST CORP,49.6700
003226,01,03/26/2014,CMCSA,COMCAST CORP,49.6200
003226,01,03/27/2014,CMCSA,COMCAST CORP,49.1000
003226,01,03/28/2014,CMCSA,COMCAST CORP,49.5600
003226,01,03/31/2014,CMCSA,COMCAST CORP,50.0400
003226,01,04/01/2014,CMCSA,COMCAST CORP,49.9300
003226,01,04/02/2014,CMCSA,COMCAST CORP,50.9000
003226,01,04/03/2014,CMCSA,COMCAST CORP,51.1200
003226,01,04/04/2014,CMCSA,COMCAST CORP,50.1800
003226,01,04/07/2014,CMCSA,COMCAST CORP,49.0800
003226,01,04/08/2014,CMCSA,COMCAST CORP,48.8500
003226,01,04/09/2014,CMCSA,COMCAST CORP,49.7900
003226,01,04/10/2014,CMCSA,COMCAST CORP,48.4200
003226,01,04/11/2014,CMCSA,COMCAST CORP,47.9600
003226,01,04/14/2014,CMCSA,COMCAST CORP,48.6600
003226,01,04/15/2014,CMCSA,COMCAST CORP,48.4100
003226,01,04/16/2014,CMCSA,COMCAST CORP,49.1700
003226,01,04/17/2014,CMCSA,COMCAST CORP,49.1000
003226,01,04/21/2014,CMCSA,COMCAST CORP,49.8800
003226,01,04/22/2014,CMCSA,COMCAST CORP,50.8300
003226,01,04/23/2014,CMCSA,COMCAST CORP,51.2100
003226,01,04/24/2014,CMCSA,COMCAST CORP,51.3700
003226,01,04/25/2014,CMCSA,COMCAST CORP,50.9700
003226,01,04/28/2014,CMCSA,COMCAST CORP,51.7000
003226,01,04/29/2014,CMCSA,COMCAST CORP,51.5500
003226,01,04/30/2014,CMCSA,COMCAST CORP,51.7600
003226,01,05/01/2014,CMCSA,COMCAST CORP,52.1100
003226,01,05/02/2014,CMCSA,COMCAST CORP,52.0300
003226,01,05/05/2014,CMCSA,COMCAST CORP,52.4600
003226,01,05/06/2014,CMCSA,COMCAST CORP,51.8100
003226,01,05/07/2014,CMCSA,COMCAST CORP,51.7400
003226,01,05/08/2014,CMCSA,COMCAST CORP,51.1000
003226,01,05/09/2014,CMCSA,COMCAST CORP,51.0000
003226,01,05/12/2014,CMCSA,COMCAST CORP,50.6500
003226,01,05/13/2014,CMCSA,COMCAST CORP,50.1100
003226,01,05/14/2014,CMCSA,COMCAST CORP,49.8300
003226,01,05/15/2014,CMCSA,COMCAST CORP,50.3100
003226,01,05/16/2014,CMCSA,COMCAST CORP,50.1900
003226,01,05/19/2014,CMCSA,COMCAST CORP,50.9000
003226,01,05/20/2014,CMCSA,COMCAST CORP,50.6500
003226,01,05/21/2014,CMCSA,COMCAST CORP,51.3500
003226,01,05/22/2014,CMCSA,COMCAST CORP,51.7000
003226,01,05/23/2014,CMCSA,COMCAST CORP,51.9700
003226,01,05/27/2014,CMCSA,COMCAST CORP,52.0600
003226,01,05/28/2014,CMCSA,COMCAST CORP,51.8500
003226,01,05/29/2014,CMCSA,COMCAST CORP,52.0700
003226,01,05/30/2014,CMCSA,COMCAST CORP,52.2000
003226,01,06/02/2014,CMCSA,COMCAST CORP,52.5600
003226,01,06/03/2014,CMCSA,COMCAST CORP,52.3200
003226,01,06/04/2014,CMCSA,COMCAST CORP,52.2900
003226,01,06/05/2014,CMCSA,COMCAST CORP,52.7100
003226,01,06/06/2014,CMCSA,COMCAST CORP,52.9100
003226,01,06/09/2014,CMCSA,COMCAST CORP,52.9500
003226,01,06/10/2014,CMCSA,COMCAST CORP,52.8800
003226,01,06/11/2014,CMCSA,COMCAST CORP,52.7100
003226,01,06/12/2014,CMCSA,COMCAST CORP,52.6700
003226,01,06/13/2014,CMCSA,COMCAST CORP,52.4700
003226,01,06/16/2014,CMCSA,COMCAST CORP,52.3500
003226,01,06/17/2014,CMCSA,COMCAST CORP,52.2000
003226,01,06/18/2014,CMCSA,COMCAST CORP,52.6600
003226,01,06/19/2014,CMCSA,COMCAST CORP,52.9400
003226,01,06/20/2014,CMCSA,COMCAST CORP,52.7400
003226,01,06/23/2014,CMCSA,COMCAST CORP,52.4300
003226,01,06/24/2014,CMCSA,COMCAST CORP,52.6400
003226,01,06/25/2014,CMCSA,COMCAST CORP,53.2100
003226,01,06/26/2014,CMCSA,COMCAST CORP,53.6000
003226,01,06/27/2014,CMCSA,COMCAST CORP,54.1300
003226,01,06/30/2014,CMCSA,COMCAST CORP,53.6800
003226,01,07/01/2014,CMCSA,COMCAST CORP,54.1100
003226,01,07/02/2014,CMCSA,COMCAST CORP,54.5550
003226,01,07/03/2014,CMCSA,COMCAST CORP,54.9000
003226,01,07/07/2014,CMCSA,COMCAST CORP,54.1800
003226,01,07/08/2014,CMCSA,COMCAST CORP,53.3100
003226,01,07/09/2014,CMCSA,COMCAST CORP,54.7300
003226,01,07/10/2014,CMCSA,COMCAST CORP,54.3550
003226,01,07/11/2014,CMCSA,COMCAST CORP,54.5500
003226,01,07/14/2014,CMCSA,COMCAST CORP,55.0500
003226,01,07/15/2014,CMCSA,COMCAST CORP,54.8900
003226,01,07/16/2014,CMCSA,COMCAST CORP,55.0500
003226,01,07/17/2014,CMCSA,COMCAST CORP,54.2000
003226,01,07/18/2014,CMCSA,COMCAST CORP,54.5400
003226,01,07/21/2014,CMCSA,COMCAST CORP,53.8200
003226,01,07/22/2014,CMCSA,COMCAST CORP,54.6300
003226,01,07/23/2014,CMCSA,COMCAST CORP,54.7100
003226,01,07/24/2014,CMCSA,COMCAST CORP,55.1300
003226,01,07/25/2014,CMCSA,COMCAST CORP,54.3900
003226,01,07/28/2014,CMCSA,COMCAST CORP,54.7300
003226,01,07/29/2014,CMCSA,COMCAST CORP,54.9900
003226,01,07/30/2014,CMCSA,COMCAST CORP,55.4100
003226,01,07/31/2014,CMCSA,COMCAST CORP,53.7300
003226,01,08/01/2014,CMCSA,COMCAST CORP,53.3900
003226,01,08/04/2014,CMCSA,COMCAST CORP,53.8500
003226,01,08/05/2014,CMCSA,COMCAST CORP,53.1800
