gvkey,iid,datadate,tic,conm,curcdd,prccd,exchg
175900,01,20140102,SBH,SALLY BEAUTY HOLDINGS INC,USD,30.5700,11
175900,01,20140103,SBH,SALLY BEAUTY HOLDINGS INC,USD,30.6700,11
175900,01,20140106,SBH,SALLY BEAUTY HOLDINGS INC,USD,30.1400,11
175900,01,20140107,SBH,SALLY BEAUTY HOLDINGS INC,USD,30.3900,11
175900,01,20140108,SBH,SALLY BEAUTY HOLDINGS INC,USD,30.1200,11
175900,01,20140109,SBH,SALLY BEAUTY HOLDINGS INC,USD,29.2800,11
175900,01,20140110,SBH,SALLY BEAUTY HOLDINGS INC,USD,29.6600,11
175900,01,20140113,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.7900,11
175900,01,20140114,SBH,SALLY BEAUTY HOLDINGS INC,USD,29.2100,11
175900,01,20140115,SBH,SALLY BEAUTY HOLDINGS INC,USD,29.2500,11
175900,01,20140116,SBH,SALLY BEAUTY HOLDINGS INC,USD,29.0800,11
175900,01,20140117,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.9900,11
175900,01,20140121,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.7000,11
175900,01,20140122,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.7300,11
175900,01,20140123,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.6000,11
175900,01,20140124,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.6700,11
175900,01,20140127,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.6500,11
175900,01,20140128,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.1400,11
175900,01,20140129,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.8000,11
175900,01,20140130,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.1100,11
175900,01,20140131,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.3800,11
175900,01,20140203,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.5500,11
175900,01,20140204,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.8600,11
175900,01,20140205,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.9500,11
175900,01,20140206,SBH,SALLY BEAUTY HOLDINGS INC,USD,29.9600,11
175900,01,20140207,SBH,SALLY BEAUTY HOLDINGS INC,USD,29.6100,11
175900,01,20140210,SBH,SALLY BEAUTY HOLDINGS INC,USD,29.3900,11
175900,01,20140211,SBH,SALLY BEAUTY HOLDINGS INC,USD,29.3300,11
175900,01,20140212,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.8200,11
175900,01,20140213,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.7900,11
175900,01,20140214,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.4100,11
175900,01,20140218,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.1300,11
175900,01,20140219,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.3300,11
175900,01,20140220,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.3300,11
175900,01,20140221,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.2000,11
175900,01,20140224,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.5000,11
175900,01,20140225,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.0000,11
175900,01,20140226,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.2800,11
175900,01,20140227,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.7900,11
175900,01,20140228,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.7000,11
175900,01,20140303,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.3200,11
175900,01,20140304,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.4600,11
175900,01,20140305,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.8300,11
175900,01,20140306,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.8100,11
175900,01,20140307,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.6000,11
175900,01,20140310,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.3900,11
175900,01,20140311,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.9500,11
175900,01,20140312,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.9300,11
175900,01,20140313,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.6000,11
175900,01,20140314,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.4600,11
175900,01,20140317,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.7500,11
175900,01,20140318,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.1500,11
175900,01,20140319,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.6100,11
175900,01,20140320,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.3700,11
175900,01,20140321,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.4200,11
175900,01,20140324,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.1500,11
175900,01,20140325,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.9600,11
175900,01,20140326,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.5500,11
175900,01,20140327,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.6000,11
