gvkey,iid,datadate,tic,cusip,conm,prccd,exchg,cik
015633,01,20150102,RY,780087102,ROYAL BANK OF CANADA,68.5500,11,0001000275
015633,01,20150105,RY,780087102,ROYAL BANK OF CANADA,67.1000,11,0001000275
015633,01,20150106,RY,780087102,ROYAL BANK OF CANADA,66.2500,11,0001000275
015633,01,20150107,RY,780087102,ROYAL BANK OF CANADA,66.2400,11,0001000275
015633,01,20150108,RY,780087102,ROYAL BANK OF CANADA,66.6100,11,0001000275
015633,01,20150109,RY,780087102,ROYAL BANK OF CANADA,65.2800,11,0001000275
015633,01,20150112,RY,780087102,ROYAL BANK OF CANADA,64.1500,11,0001000275
015633,01,20150113,RY,780087102,ROYAL BANK OF CANADA,64.1300,11,0001000275
015633,01,20150114,RY,780087102,ROYAL BANK OF CANADA,63.3300,11,0001000275
015633,01,20150115,RY,780087102,ROYAL BANK OF CANADA,62.7900,11,0001000275
015633,01,20150116,RY,780087102,ROYAL BANK OF CANADA,63.0900,11,0001000275
015633,01,20150120,RY,780087102,ROYAL BANK OF CANADA,62.2600,11,0001000275
015633,01,20150121,RY,780087102,ROYAL BANK OF CANADA,62.1600,11,0001000275
015633,01,20150122,RY,780087102,ROYAL BANK OF CANADA,60.2600,11,0001000275
015633,01,20150123,RY,780087102,ROYAL BANK OF CANADA,60.7300,11,0001000275
015633,01,20150126,RY,780087102,ROYAL BANK OF CANADA,60.4100,11,0001000275
015633,01,20150127,RY,780087102,ROYAL BANK OF CANADA,60.5400,11,0001000275
015633,01,20150128,RY,780087102,ROYAL BANK OF CANADA,59.0100,11,0001000275
015633,01,20150129,RY,780087102,ROYAL BANK OF CANADA,58.7500,11,0001000275
015633,01,20150130,RY,780087102,ROYAL BANK OF CANADA,56.5900,11,0001000275
015633,01,20150202,RY,780087102,ROYAL BANK OF CANADA,58.0400,11,0001000275
015633,01,20150203,RY,780087102,ROYAL BANK OF CANADA,60.3400,11,0001000275
015633,01,20150204,RY,780087102,ROYAL BANK OF CANADA,59.0100,11,0001000275
015633,01,20150205,RY,780087102,ROYAL BANK OF CANADA,60.6300,11,0001000275
015633,01,20150206,RY,780087102,ROYAL BANK OF CANADA,60.7200,11,0001000275
015633,01,20150209,RY,780087102,ROYAL BANK OF CANADA,61.3500,11,0001000275
015633,01,20150210,RY,780087102,ROYAL BANK OF CANADA,60.7900,11,0001000275
015633,01,20150211,RY,780087102,ROYAL BANK OF CANADA,60.6900,11,0001000275
015633,01,20150212,RY,780087102,ROYAL BANK OF CANADA,62.0300,11,0001000275
015633,01,20150213,RY,780087102,ROYAL BANK OF CANADA,62.2600,11,0001000275
015633,01,20150217,RY,780087102,ROYAL BANK OF CANADA,62.8100,11,0001000275
015633,01,20150218,RY,780087102,ROYAL BANK OF CANADA,61.8200,11,0001000275
015633,01,20150219,RY,780087102,ROYAL BANK OF CANADA,61.7900,11,0001000275
015633,01,20150220,RY,780087102,ROYAL BANK OF CANADA,60.5900,11,0001000275
015633,01,20150223,RY,780087102,ROYAL BANK OF CANADA,59.6900,11,0001000275
015633,01,20150224,RY,780087102,ROYAL BANK OF CANADA,60.0900,11,0001000275
015633,01,20150225,RY,780087102,ROYAL BANK OF CANADA,62.6400,11,0001000275
015633,01,20150226,RY,780087102,ROYAL BANK OF CANADA,62.3900,11,0001000275
015633,01,20150227,RY,780087102,ROYAL BANK OF CANADA,62.6200,11,0001000275
015633,01,20150302,RY,780087102,ROYAL BANK OF CANADA,62.3400,11,0001000275
015633,01,20150303,RY,780087102,ROYAL BANK OF CANADA,61.8400,11,0001000275
