gvkey,iid,datadate,tic,conm,curcdd,prccd,exchg
005643,04,20150102,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.9400,11
005643,04,20150105,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.1000,11
005643,04,20150106,HLT,HILTON WORLDWIDE HOLDINGS,USD,24.8700,11
005643,04,20150107,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.2700,11
005643,04,20150108,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.9700,11
005643,04,20150109,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.7100,11
005643,04,20150112,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.4500,11
005643,04,20150113,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.6500,11
005643,04,20150114,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.9300,11
005643,04,20150115,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.6000,11
005643,04,20150116,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.8600,11
005643,04,20150120,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.7800,11
005643,04,20150121,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.8800,11
005643,04,20150122,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.7400,11
005643,04,20150123,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.5600,11
005643,04,20150126,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.9100,11
005643,04,20150127,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.4700,11
005643,04,20150128,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.4500,11
005643,04,20150129,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.3800,11
005643,04,20150130,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.9700,11
005643,04,20150202,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.1200,11
005643,04,20150203,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.5700,11
005643,04,20150204,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.3300,11
005643,04,20150205,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.8700,11
005643,04,20150206,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.3600,11
005643,04,20150209,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.4900,11
005643,04,20150210,HLT,HILTON WORLDWIDE HOLDINGS,USD,27.4600,11
005643,04,20150211,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.1600,11
005643,04,20150212,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.4400,11
005643,04,20150213,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.5700,11
005643,04,20150217,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.6500,11
005643,04,20150218,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.5400,11
005643,04,20150219,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.3500,11
005643,04,20150220,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.3500,11
005643,04,20150223,HLT,HILTON WORLDWIDE HOLDINGS,USD,27.9200,11
005643,04,20150224,HLT,HILTON WORLDWIDE HOLDINGS,USD,27.7900,11
005643,04,20150225,HLT,HILTON WORLDWIDE HOLDINGS,USD,27.9200,11
005643,04,20150226,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.0100,11
005643,04,20150227,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.2700,11
005643,04,20150302,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.8700,11
005643,04,20150303,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.2700,11
005643,04,20150304,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.9600,11
005643,04,20150305,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.0300,11
005643,04,20150306,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.2400,11
005643,04,20150309,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.2800,11
005643,04,20150310,HLT,HILTON WORLDWIDE HOLDINGS,USD,27.9100,11
005643,04,20150311,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.0400,11
005643,04,20150312,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.3100,11
005643,04,20150313,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.1500,11
005643,04,20150316,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.9800,11
005643,04,20150317,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.8900,11
005643,04,20150318,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.3000,11
005643,04,20150319,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.4600,11
005643,04,20150320,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.3100,11
005643,04,20150323,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.4700,11
005643,04,20150324,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.4800,11
005643,04,20150325,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.7500,11
005643,04,20150326,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.1800,11
005643,04,20150327,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.7500,11
005643,04,20150330,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.6300,11
005643,04,20150331,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.6200,11
005643,04,20150401,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.2800,11
005643,04,20150402,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.3600,11
005643,04,20150406,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.6200,11
005643,04,20150407,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.1900,11
005643,04,20150408,HLT,HILTON WORLDWIDE HOLDINGS,USD,30.5100,11
005643,04,20150409,HLT,HILTON WORLDWIDE HOLDINGS,USD,31.1000,11
005643,04,20150410,HLT,HILTON WORLDWIDE HOLDINGS,USD,30.9500,11
005643,04,20150413,HLT,HILTON WORLDWIDE HOLDINGS,USD,30.4800,11
005643,04,20150414,HLT,HILTON WORLDWIDE HOLDINGS,USD,30.2700,11
005643,04,20150415,HLT,HILTON WORLDWIDE HOLDINGS,USD,30.2100,11
005643,04,20150416,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.8600,11
005643,04,20150417,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.6000,11
005643,04,20150420,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.8600,11
005643,04,20150421,HLT,HILTON WORLDWIDE HOLDINGS,USD,30.1100,11
005643,04,20150422,HLT,HILTON WORLDWIDE HOLDINGS,USD,30.0200,11
005643,04,20150423,HLT,HILTON WORLDWIDE HOLDINGS,USD,30.3100,11
005643,04,20150424,HLT,HILTON WORLDWIDE HOLDINGS,USD,30.2800,11
005643,04,20150427,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.6400,11
005643,04,20150428,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.4400,11
005643,04,20150429,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.7600,11
005643,04,20150430,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.9600,11
005643,04,20150501,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.8300,11
005643,04,20150504,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.3900,11
005643,04,20150505,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.0400,11
005643,04,20150506,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.0600,11
005643,04,20150507,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.4800,11
005643,04,20150508,HLT,HILTON WORLDWIDE HOLDINGS,USD,30.1000,11
005643,04,20150511,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.6900,11
005643,04,20150512,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.4300,11
005643,04,20150513,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.1100,11
005643,04,20150514,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.5000,11
005643,04,20150515,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.5000,11
005643,04,20150518,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.5100,11
005643,04,20150519,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.5900,11
005643,04,20150520,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.6200,11
005643,04,20150521,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.2800,11
005643,04,20150522,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.3500,11
005643,04,20150526,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.1700,11
005643,04,20150527,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.4300,11
005643,04,20150528,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.4100,11
005643,04,20150529,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.9600,11
005643,04,20150601,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.1700,11
005643,04,20150602,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.1900,11
005643,04,20150603,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.2900,11
005643,04,20150604,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.2700,11
005643,04,20150605,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.3900,11
005643,04,20150608,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.7600,11
005643,04,20150609,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.1800,11
005643,04,20150610,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.6700,11
005643,04,20150611,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.8000,11
005643,04,20150612,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.6000,11
005643,04,20150615,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.4200,11
005643,04,20150616,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.0300,11
005643,04,20150617,HLT,HILTON WORLDWIDE HOLDINGS,USD,27.9300,11
005643,04,20150618,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.3600,11
