gvkey,iid,datadate,tic,cusip,conm,curcdd,prccd,exchg,cik
141459,01,20150102,GRMN,H2906T109,GARMIN LTD,USD,52.5800,14,0001121788
141459,01,20150105,GRMN,H2906T109,GARMIN LTD,USD,51.1300,14,0001121788
141459,01,20150106,GRMN,H2906T109,GARMIN LTD,USD,50.5100,14,0001121788
141459,01,20150107,GRMN,H2906T109,GARMIN LTD,USD,51.4500,14,0001121788
141459,01,20150108,GRMN,H2906T109,GARMIN LTD,USD,51.4500,14,0001121788
141459,01,20150109,GRMN,H2906T109,GARMIN LTD,USD,51.4400,14,0001121788
141459,01,20150112,GRMN,H2906T109,GARMIN LTD,USD,51.4500,14,0001121788
141459,01,20150113,GRMN,H2906T109,GARMIN LTD,USD,51.5350,14,0001121788
141459,01,20150114,GRMN,H2906T109,GARMIN LTD,USD,51.8000,14,0001121788
141459,01,20150115,GRMN,H2906T109,GARMIN LTD,USD,50.8200,14,0001121788
141459,01,20150116,GRMN,H2906T109,GARMIN LTD,USD,52.8300,14,0001121788
141459,01,20150120,GRMN,H2906T109,GARMIN LTD,USD,52.6200,14,0001121788
141459,01,20150121,GRMN,H2906T109,GARMIN LTD,USD,52.6000,14,0001121788
141459,01,20150122,GRMN,H2906T109,GARMIN LTD,USD,53.1400,14,0001121788
141459,01,20150123,GRMN,H2906T109,GARMIN LTD,USD,53.0100,14,0001121788
141459,01,20150126,GRMN,H2906T109,GARMIN LTD,USD,54.3000,14,0001121788
141459,01,20150127,GRMN,H2906T109,GARMIN LTD,USD,52.8600,14,0001121788
141459,01,20150128,GRMN,H2906T109,GARMIN LTD,USD,52.0000,14,0001121788
141459,01,20150129,GRMN,H2906T109,GARMIN LTD,USD,52.5000,14,0001121788
141459,01,20150130,GRMN,H2906T109,GARMIN LTD,USD,52.3600,14,0001121788
141459,01,20150202,GRMN,H2906T109,GARMIN LTD,USD,52.6000,14,0001121788
141459,01,20150203,GRMN,H2906T109,GARMIN LTD,USD,53.6500,14,0001121788
141459,01,20150204,GRMN,H2906T109,GARMIN LTD,USD,53.2300,14,0001121788
141459,01,20150205,GRMN,H2906T109,GARMIN LTD,USD,53.4350,14,0001121788
141459,01,20150206,GRMN,H2906T109,GARMIN LTD,USD,53.4200,14,0001121788
141459,01,20150209,GRMN,H2906T109,GARMIN LTD,USD,53.8100,14,0001121788
141459,01,20150210,GRMN,H2906T109,GARMIN LTD,USD,54.1100,14,0001121788
141459,01,20150211,GRMN,H2906T109,GARMIN LTD,USD,54.3100,14,0001121788
141459,01,20150212,GRMN,H2906T109,GARMIN LTD,USD,55.9100,14,0001121788
