gvkey,iid,datadate,conm,curcdd,prccd,exchg
15362,01W,20140101,WESTPAC BANKING,AUD,32.38,106
15362,01W,20140102,WESTPAC BANKING,AUD,32.34,106
15362,01W,20140103,WESTPAC BANKING,AUD,32.34,106
15362,01W,20140106,WESTPAC BANKING,AUD,32.12,106
15362,01W,20140107,WESTPAC BANKING,AUD,32.08,106
15362,01W,20140108,WESTPAC BANKING,AUD,32.04,106
15362,01W,20140109,WESTPAC BANKING,AUD,31.94,106
15362,01W,20140110,WESTPAC BANKING,AUD,32.22,106
15362,01W,20140113,WESTPAC BANKING,AUD,32.01,106
15362,01W,20140114,WESTPAC BANKING,AUD,31.51,106
15362,01W,20140115,WESTPAC BANKING,AUD,31.71,106
15362,01W,20140116,WESTPAC BANKING,AUD,31.83,106
15362,01W,20140117,WESTPAC BANKING,AUD,31.6,106
15362,01W,20140120,WESTPAC BANKING,AUD,31.53,106
15362,01W,20140121,WESTPAC BANKING,AUD,31.79,106
15362,01W,20140122,WESTPAC BANKING,AUD,31.95,106
15362,01W,20140123,WESTPAC BANKING,AUD,31.44,106
15362,01W,20140124,WESTPAC BANKING,AUD,31.12,106
15362,01W,20140127,WESTPAC BANKING,AUD,31.12,106
15362,01W,20140128,WESTPAC BANKING,AUD,30.78,106
15362,01W,20140129,WESTPAC BANKING,AUD,31.2,106
15362,01W,20140130,WESTPAC BANKING,AUD,30.89,106
15362,01W,20140131,WESTPAC BANKING,AUD,30.87,106
15362,01W,20140203,WESTPAC BANKING,AUD,30.99,106
15362,01W,20140204,WESTPAC BANKING,AUD,30.4,106
15362,01W,20140205,WESTPAC BANKING,AUD,30.31,106
15362,01W,20140206,WESTPAC BANKING,AUD,30.83,106
15362,01W,20140207,WESTPAC BANKING,AUD,31.25,106
15362,01W,20140210,WESTPAC BANKING,AUD,31.77,106
15362,01W,20140211,WESTPAC BANKING,AUD,32.23,106
15362,01W,20140212,WESTPAC BANKING,AUD,32.5,106
15362,01W,20140213,WESTPAC BANKING,AUD,32.44,106
15362,01W,20140214,WESTPAC BANKING,AUD,32.75,106
15362,01W,20140217,WESTPAC BANKING,AUD,32.91,106
15362,01W,20140218,WESTPAC BANKING,AUD,32.86,106
15362,01W,20140219,WESTPAC BANKING,AUD,33.24,106
15362,01W,20140220,WESTPAC BANKING,AUD,33.1,106
15362,01W,20140221,WESTPAC BANKING,AUD,33.31,106
15362,01W,20140224,WESTPAC BANKING,AUD,33.57,106
15362,01W,20140225,WESTPAC BANKING,AUD,33.42,106
15362,01W,20140226,WESTPAC BANKING,AUD,33.56,106
15362,01W,20140227,WESTPAC BANKING,AUD,33.54,106
15362,01W,20140228,WESTPAC BANKING,AUD,33.47,106
15362,01W,20140303,WESTPAC BANKING,AUD,33.31,106
15362,01W,20140304,WESTPAC BANKING,AUD,33.65,106
15362,01W,20140305,WESTPAC BANKING,AUD,34.23,106
15362,01W,20140306,WESTPAC BANKING,AUD,34.31,106
15362,01W,20140307,WESTPAC BANKING,AUD,33.9,106
15362,01W,20140310,WESTPAC BANKING,AUD,33.77,106
15362,01W,20140311,WESTPAC BANKING,AUD,34.29,106
15362,01W,20140312,WESTPAC BANKING,AUD,33.94,106
15362,01W,20140313,WESTPAC BANKING,AUD,34.25,106
15362,01W,20140314,WESTPAC BANKING,AUD,33.65,106
15362,01W,20140317,WESTPAC BANKING,AUD,33.54,106
15362,01W,20140318,WESTPAC BANKING,AUD,33.59,106
15362,01W,20140319,WESTPAC BANKING,AUD,33.75,106
15362,01W,20140320,WESTPAC BANKING,AUD,33.24,106
15362,01W,20140321,WESTPAC BANKING,AUD,33.6,106
15362,01W,20140324,WESTPAC BANKING,AUD,33.62,106
15362,01W,20140325,WESTPAC BANKING,AUD,33.86,106
15362,01W,20140326,WESTPAC BANKING,AUD,34.28,106
15362,01W,20140327,WESTPAC BANKING,AUD,34.22,106
15362,01W,20140328,WESTPAC BANKING,AUD,34.43,106
15362,01W,20140331,WESTPAC BANKING,AUD,34.56,106
15362,01W,20140401,WESTPAC BANKING,AUD,34.59,106
15362,01W,20140402,WESTPAC BANKING,AUD,34.62,106
15362,01W,20140403,WESTPAC BANKING,AUD,34.47,106
15362,01W,20140404,WESTPAC BANKING,AUD,34.6,106
15362,01W,20140407,WESTPAC BANKING,AUD,34.48,106
15362,01W,20140408,WESTPAC BANKING,AUD,34.46,106
15362,01W,20140409,WESTPAC BANKING,AUD,34.7,106
15362,01W,20140410,WESTPAC BANKING,AUD,34.86,106
15362,01W,20140411,WESTPAC BANKING,AUD,34.66,106
15362,01W,20140414,WESTPAC BANKING,AUD,34.15,106
15362,01W,20140415,WESTPAC BANKING,AUD,34.37,106
15362,01W,20140416,WESTPAC BANKING,AUD,34.59,106
15362,01W,20140417,WESTPAC BANKING,AUD,34.94,106
15362,01W,20140418,WESTPAC BANKING,AUD,34.94,106
15362,01W,20140421,WESTPAC BANKING,AUD,34.94,106
15362,01W,20140422,WESTPAC BANKING,AUD,35.29,106
15362,01W,20140423,WESTPAC BANKING,AUD,35.62,106
15362,01W,20140424,WESTPAC BANKING,AUD,35.78,106
15362,01W,20140425,WESTPAC BANKING,AUD,35.78,106
15362,01W,20140428,WESTPAC BANKING,AUD,35.86,106
15362,01W,20140429,WESTPAC BANKING,AUD,35.39,106
15362,01W,20140430,WESTPAC BANKING,AUD,35.12,106
15362,01W,20140501,WESTPAC BANKING,AUD,34.7,106
15362,01W,20140502,WESTPAC BANKING,AUD,34.87,106
15362,01W,20140505,WESTPAC BANKING,AUD,34.45,106
