gvkey,iid,datadate,tic,conm,curcdd,prccd,exchg
5643,4,20150102,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.94,11
5643,4,20150105,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.1,11
5643,4,20150106,HLT,HILTON WORLDWIDE HOLDINGS,USD,24.87,11
5643,4,20150107,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.27,11
5643,4,20150108,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.97,11
5643,4,20150109,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.71,11
5643,4,20150112,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.45,11
5643,4,20150113,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.65,11
5643,4,20150114,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.93,11
5643,4,20150115,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.6,11
5643,4,20150116,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.86,11
5643,4,20150120,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.78,11
5643,4,20150121,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.88,11
5643,4,20150122,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.74,11
5643,4,20150123,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.56,11
5643,4,20150126,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.91,11
5643,4,20150127,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.47,11
5643,4,20150128,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.45,11
5643,4,20150129,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.38,11
5643,4,20150130,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.97,11
5643,4,20150202,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.12,11
5643,4,20150203,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.57,11
5643,4,20150204,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.33,11
5643,4,20150205,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.87,11
5643,4,20150206,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.36,11
5643,4,20150209,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.49,11
5643,4,20150210,HLT,HILTON WORLDWIDE HOLDINGS,USD,27.46,11
5643,4,20150211,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.16,11
5643,4,20150212,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.44,11
5643,4,20150213,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.57,11
5643,4,20150217,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.65,11
5643,4,20150218,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.54,11
5643,4,20150219,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.35,11
5643,4,20150220,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.35,11
5643,4,20150223,HLT,HILTON WORLDWIDE HOLDINGS,USD,27.92,11
5643,4,20150224,HLT,HILTON WORLDWIDE HOLDINGS,USD,27.79,11
5643,4,20150225,HLT,HILTON WORLDWIDE HOLDINGS,USD,27.92,11
5643,4,20150226,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.01,11
5643,4,20150227,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.27,11
5643,4,20150302,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.87,11
5643,4,20150303,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.27,11
5643,4,20150304,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.96,11
5643,4,20150305,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.03,11
5643,4,20150306,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.24,11
5643,4,20150309,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.28,11
