gvkey,iid,datadate,tic,conm,curcdd,prccd,exchg
175900,1,20140102,SBH,SALLY BEAUTY HOLDINGS INC,USD,30.57,11
175900,1,20140103,SBH,SALLY BEAUTY HOLDINGS INC,USD,30.67,11
175900,1,20140106,SBH,SALLY BEAUTY HOLDINGS INC,USD,30.14,11
175900,1,20140107,SBH,SALLY BEAUTY HOLDINGS INC,USD,30.39,11
175900,1,20140108,SBH,SALLY BEAUTY HOLDINGS INC,USD,30.12,11
175900,1,20140109,SBH,SALLY BEAUTY HOLDINGS INC,USD,29.28,11
175900,1,20140110,SBH,SALLY BEAUTY HOLDINGS INC,USD,29.66,11
175900,1,20140113,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.79,11
175900,1,20140114,SBH,SALLY BEAUTY HOLDINGS INC,USD,29.21,11
175900,1,20140115,SBH,SALLY BEAUTY HOLDINGS INC,USD,29.25,11
175900,1,20140116,SBH,SALLY BEAUTY HOLDINGS INC,USD,29.08,11
175900,1,20140117,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.99,11
175900,1,20140121,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.7,11
175900,1,20140122,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.73,11
175900,1,20140123,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.6,11
175900,1,20140124,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.67,11
175900,1,20140127,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.65,11
175900,1,20140128,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.14,11
175900,1,20140129,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.8,11
175900,1,20140130,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.11,11
175900,1,20140131,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.38,11
175900,1,20140203,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.55,11
175900,1,20140204,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.86,11
175900,1,20140205,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.95,11
175900,1,20140206,SBH,SALLY BEAUTY HOLDINGS INC,USD,29.96,11
175900,1,20140207,SBH,SALLY BEAUTY HOLDINGS INC,USD,29.61,11
175900,1,20140210,SBH,SALLY BEAUTY HOLDINGS INC,USD,29.39,11
175900,1,20140211,SBH,SALLY BEAUTY HOLDINGS INC,USD,29.33,11
175900,1,20140212,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.82,11
175900,1,20140213,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.79,11
175900,1,20140214,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.41,11
175900,1,20140218,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.13,11
175900,1,20140219,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.33,11
175900,1,20140220,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.33,11
175900,1,20140221,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.2,11
175900,1,20140224,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.5,11
175900,1,20140225,SBH,SALLY BEAUTY HOLDINGS INC,USD,28,11
175900,1,20140226,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.28,11
175900,1,20140227,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.79,11
175900,1,20140228,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.7,11
175900,1,20140303,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.32,11
175900,1,20140304,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.46,11
175900,1,20140305,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.83,11
175900,1,20140306,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.81,11
175900,1,20140307,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.6,11
175900,1,20140310,SBH,SALLY BEAUTY HOLDINGS INC,USD,28.39,11
175900,1,20140311,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.95,11
175900,1,20140312,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.93,11
175900,1,20140313,SBH,SALLY BEAUTY HOLDINGS INC,USD,27.6,11
