gvkey,iid,datadate,tic,conm,prccd
3851,3,1/2/2014,DAL,DELTA AIR LINES INC,27.7
3851,3,1/3/2014,DAL,DELTA AIR LINES INC,29.23
3851,3,1/6/2014,DAL,DELTA AIR LINES INC,29.29
3851,3,1/7/2014,DAL,DELTA AIR LINES INC,28.78
3851,3,1/8/2014,DAL,DELTA AIR LINES INC,29.8
3851,3,1/9/2014,DAL,DELTA AIR LINES INC,31.06
3851,3,1/10/2014,DAL,DELTA AIR LINES INC,31.47
3851,3,1/13/2014,DAL,DELTA AIR LINES INC,30.92
3851,3,1/14/2014,DAL,DELTA AIR LINES INC,32.01
3851,3,1/15/2014,DAL,DELTA AIR LINES INC,31.5
3851,3,1/16/2014,DAL,DELTA AIR LINES INC,31.58
3851,3,1/17/2014,DAL,DELTA AIR LINES INC,31.07
3851,3,1/21/2014,DAL,DELTA AIR LINES INC,32.08
3851,3,1/22/2014,DAL,DELTA AIR LINES INC,32.84
3851,3,1/23/2014,DAL,DELTA AIR LINES INC,32.5
3851,3,1/24/2014,DAL,DELTA AIR LINES INC,31.11
3851,3,1/27/2014,DAL,DELTA AIR LINES INC,30.59
3851,3,1/28/2014,DAL,DELTA AIR LINES INC,30.9
3851,3,1/29/2014,DAL,DELTA AIR LINES INC,29.92
3851,3,1/30/2014,DAL,DELTA AIR LINES INC,30.58
3851,3,1/31/2014,DAL,DELTA AIR LINES INC,30.61
3851,3,2/3/2014,DAL,DELTA AIR LINES INC,29.38
3851,3,2/4/2014,DAL,DELTA AIR LINES INC,29.94
3851,3,2/5/2014,DAL,DELTA AIR LINES INC,30.02
3851,3,2/6/2014,DAL,DELTA AIR LINES INC,30.89
3851,3,2/7/2014,DAL,DELTA AIR LINES INC,31.65
3851,3,2/10/2014,DAL,DELTA AIR LINES INC,31.21
3851,3,2/11/2014,DAL,DELTA AIR LINES INC,31.41
3851,3,2/12/2014,DAL,DELTA AIR LINES INC,31.13
3851,3,2/13/2014,DAL,DELTA AIR LINES INC,31.35
3851,3,2/14/2014,DAL,DELTA AIR LINES INC,31.34
3851,3,2/18/2014,DAL,DELTA AIR LINES INC,30.92
3851,3,2/19/2014,DAL,DELTA AIR LINES INC,30.57
3851,3,2/20/2014,DAL,DELTA AIR LINES INC,31.84
3851,3,2/21/2014,DAL,DELTA AIR LINES INC,31.76
3851,3,2/24/2014,DAL,DELTA AIR LINES INC,32.45
3851,3,2/25/2014,DAL,DELTA AIR LINES INC,33.24
3851,3,2/26/2014,DAL,DELTA AIR LINES INC,33.51
3851,3,2/27/2014,DAL,DELTA AIR LINES INC,33.32
3851,3,2/28/2014,DAL,DELTA AIR LINES INC,33.21
3851,3,3/3/2014,DAL,DELTA AIR LINES INC,32.59
3851,3,3/4/2014,DAL,DELTA AIR LINES INC,34.45
3851,3,3/5/2014,DAL,DELTA AIR LINES INC,34.72
3851,3,3/6/2014,DAL,DELTA AIR LINES INC,35.37
3851,3,3/7/2014,DAL,DELTA AIR LINES INC,35.36
3851,3,3/10/2014,DAL,DELTA AIR LINES INC,35.17
3851,3,3/11/2014,DAL,DELTA AIR LINES INC,34.92
3851,3,3/12/2014,DAL,DELTA AIR LINES INC,34.5
3851,3,3/13/2014,DAL,DELTA AIR LINES INC,33.58
3851,3,3/14/2014,DAL,DELTA AIR LINES INC,34.12
3851,3,3/17/2014,DAL,DELTA AIR LINES INC,34.2
3851,3,3/18/2014,DAL,DELTA AIR LINES INC,34.07
3851,3,3/19/2014,DAL,DELTA AIR LINES INC,33.73
3851,3,3/20/2014,DAL,DELTA AIR LINES INC,33.64
3851,3,3/21/2014,DAL,DELTA AIR LINES INC,32.73
3851,3,3/24/2014,DAL,DELTA AIR LINES INC,33.32
3851,3,3/25/2014,DAL,DELTA AIR LINES INC,34.43
3851,3,3/26/2014,DAL,DELTA AIR LINES INC,33.96
3851,3,3/27/2014,DAL,DELTA AIR LINES INC,34.13
3851,3,3/28/2014,DAL,DELTA AIR LINES INC,33.53
3851,3,3/31/2014,DAL,DELTA AIR LINES INC,34.65
3851,3,4/1/2014,DAL,DELTA AIR LINES INC,35.75
3851,3,4/2/2014,DAL,DELTA AIR LINES INC,35.7
3851,3,4/3/2014,DAL,DELTA AIR LINES INC,35.37
3851,3,4/4/2014,DAL,DELTA AIR LINES INC,34.61
3851,3,4/7/2014,DAL,DELTA AIR LINES INC,33.99
3851,3,4/8/2014,DAL,DELTA AIR LINES INC,33.51
3851,3,4/9/2014,DAL,DELTA AIR LINES INC,34.73
3851,3,4/10/2014,DAL,DELTA AIR LINES INC,33.01
