gvkey,iid,datadate,conm,curcdd,prccd,trfd,exchg
15549,01W,20110103,UNICREDIT SPA,EUR,1.584,2.13446442,209
15549,01W,20110104,UNICREDIT SPA,EUR,1.59,2.13446442,209
15549,01W,20110105,UNICREDIT SPA,EUR,1.579,2.13446442,209
15549,01W,20110106,UNICREDIT SPA,EUR,1.555,2.13446442,209
15549,01W,20110107,UNICREDIT SPA,EUR,1.53,2.13446442,209
15549,01W,20110110,UNICREDIT SPA,EUR,1.474,2.13446442,209
15549,01W,20110111,UNICREDIT SPA,EUR,1.508,2.13446442,209
15549,01W,20110112,UNICREDIT SPA,EUR,1.654,2.13446442,209
15549,01W,20110113,UNICREDIT SPA,EUR,1.7,2.13446442,209
15549,01W,20110114,UNICREDIT SPA,EUR,1.714,2.13446442,209
15549,01W,20110117,UNICREDIT SPA,EUR,1.701,2.13446442,209
15549,01W,20110118,UNICREDIT SPA,EUR,1.731,2.13446442,209
15549,01W,20110119,UNICREDIT SPA,EUR,1.783,2.13446442,209
15549,01W,20110120,UNICREDIT SPA,EUR,1.822,2.13446442,209
15549,01W,20110121,UNICREDIT SPA,EUR,1.837,2.13446442,209
15549,01W,20110124,UNICREDIT SPA,EUR,1.878,2.13446442,209
15549,01W,20110125,UNICREDIT SPA,EUR,1.831,2.13446442,209
15549,01W,20110126,UNICREDIT SPA,EUR,1.804,2.13446442,209
15549,01W,20110127,UNICREDIT SPA,EUR,1.848,2.13446442,209
15549,01W,20110128,UNICREDIT SPA,EUR,1.827,2.13446442,209
15549,01W,20110131,UNICREDIT SPA,EUR,1.809,2.13446442,209
15549,01W,20110201,UNICREDIT SPA,EUR,1.829,2.13446442,209
15549,01W,20110202,UNICREDIT SPA,EUR,1.884,2.13446442,209
15549,01W,20110203,UNICREDIT SPA,EUR,1.845,2.13446442,209
15549,01W,20110204,UNICREDIT SPA,EUR,1.884,2.13446442,209
15549,01W,20110207,UNICREDIT SPA,EUR,1.906,2.13446442,209
15549,01W,20110208,UNICREDIT SPA,EUR,1.871,2.13446442,209
15549,01W,20110209,UNICREDIT SPA,EUR,1.864,2.13446442,209
15549,01W,20110210,UNICREDIT SPA,EUR,1.85,2.13446442,209
15549,01W,20110211,UNICREDIT SPA,EUR,1.863,2.13446442,209
15549,01W,20110214,UNICREDIT SPA,EUR,1.846,2.13446442,209
15549,01W,20110215,UNICREDIT SPA,EUR,1.906,2.13446442,209
15549,01W,20110216,UNICREDIT SPA,EUR,1.981,2.13446442,209
15549,01W,20110217,UNICREDIT SPA,EUR,1.997,2.13446442,209
15549,01W,20110218,UNICREDIT SPA,EUR,1.983,2.13446442,209
15549,01W,20110221,UNICREDIT SPA,EUR,1.869,2.13446442,209
15549,01W,20110222,UNICREDIT SPA,EUR,1.835,2.13446442,209
15549,01W,20110223,UNICREDIT SPA,EUR,1.849,2.13446442,209
15549,01W,20110224,UNICREDIT SPA,EUR,1.84,2.13446442,209
15549,01W,20110225,UNICREDIT SPA,EUR,1.874,2.13446442,209
15549,01W,20110228,UNICREDIT SPA,EUR,1.863,2.13446442,209
15549,01W,20110301,UNICREDIT SPA,EUR,1.827,2.13446442,209
15549,01W,20110302,UNICREDIT SPA,EUR,1.831,2.13446442,209
15549,01W,20110303,UNICREDIT SPA,EUR,1.804,2.13446442,209
15549,01W,20110304,UNICREDIT SPA,EUR,1.81,2.13446442,209
15549,01W,20110307,UNICREDIT SPA,EUR,1.784,2.13446442,209
15549,01W,20110308,UNICREDIT SPA,EUR,1.8,2.13446442,209
15549,01W,20110309,UNICREDIT SPA,EUR,1.822,2.13446442,209
15549,01W,20110310,UNICREDIT SPA,EUR,1.791,2.13446442,209
15549,01W,20110311,UNICREDIT SPA,EUR,1.77,2.13446442,209
15549,01W,20110314,UNICREDIT SPA,EUR,1.838,2.13446442,209
15549,01W,20110315,UNICREDIT SPA,EUR,1.787,2.13446442,209
15549,01W,20110316,UNICREDIT SPA,EUR,1.714,2.13446442,209
15549,01W,20110317,UNICREDIT SPA,EUR,1.719,2.13446442,209
15549,01W,20110318,UNICREDIT SPA,EUR,1.726,2.13446442,209
15549,01W,20110321,UNICREDIT SPA,EUR,1.768,2.13446442,209
15549,01W,20110322,UNICREDIT SPA,EUR,1.756,2.13446442,209
15549,01W,20110323,UNICREDIT SPA,EUR,1.794,2.13446442,209
15549,01W,20110324,UNICREDIT SPA,EUR,1.872,2.13446442,209
15549,01W,20110325,UNICREDIT SPA,EUR,1.87,2.13446442,209
15549,01W,20110328,UNICREDIT SPA,EUR,1.877,2.13446442,209
15549,01W,20110329,UNICREDIT SPA,EUR,1.808,2.13446442,209
15549,01W,20110330,UNICREDIT SPA,EUR,1.811,2.13446442,209
15549,01W,20110331,UNICREDIT SPA,EUR,1.744,2.13446442,209
15549,01W,20110401,UNICREDIT SPA,EUR,1.747,2.13446442,209
15549,01W,20110404,UNICREDIT SPA,EUR,1.718,2.13446442,209
15549,01W,20110405,UNICREDIT SPA,EUR,1.732,2.13446442,209
15549,01W,20110406,UNICREDIT SPA,EUR,1.792,2.13446442,209
15549,01W,20110407,UNICREDIT SPA,EUR,1.797,2.13446442,209
15549,01W,20110408,UNICREDIT SPA,EUR,1.794,2.13446442,209
15549,01W,20110411,UNICREDIT SPA,EUR,1.803,2.13446442,209
15549,01W,20110412,UNICREDIT SPA,EUR,1.766,2.13446442,209
15549,01W,20110413,UNICREDIT SPA,EUR,1.757,2.13446442,209
15549,01W,20110414,UNICREDIT SPA,EUR,1.712,2.13446442,209
15549,01W,20110415,UNICREDIT SPA,EUR,1.707,2.13446442,209
15549,01W,20110418,UNICREDIT SPA,EUR,1.636,2.13446442,209
15549,01W,20110419,UNICREDIT SPA,EUR,1.634,2.13446442,209
15549,01W,20110420,UNICREDIT SPA,EUR,1.619,2.13446442,209
15549,01W,20110421,UNICREDIT SPA,EUR,1.691,2.13446442,209
15549,01W,20110422,UNICREDIT SPA,EUR,1.691,2.13446442,209
15549,01W,20110425,UNICREDIT SPA,EUR,1.691,2.13446442,209
15549,01W,20110426,UNICREDIT SPA,EUR,1.687,2.13446442,209
15549,01W,20110427,UNICREDIT SPA,EUR,1.733,2.13446442,209
15549,01W,20110428,UNICREDIT SPA,EUR,1.73,2.13446442,209
15549,01W,20110429,UNICREDIT SPA,EUR,1.738,2.13446442,209
15549,01W,20110502,UNICREDIT SPA,EUR,1.73,2.13446442,209
15549,01W,20110503,UNICREDIT SPA,EUR,1.726,2.13446442,209
15549,01W,20110504,UNICREDIT SPA,EUR,1.676,2.13446442,209
15549,01W,20110505,UNICREDIT SPA,EUR,1.646,2.13446442,209
15549,01W,20110506,UNICREDIT SPA,EUR,1.675,2.13446442,209
15549,01W,20110509,UNICREDIT SPA,EUR,1.621,2.13446442,209
15549,01W,20110510,UNICREDIT SPA,EUR,1.659,2.13446442,209
15549,01W,20110511,UNICREDIT SPA,EUR,1.646,2.13446442,209
15549,01W,20110512,UNICREDIT SPA,EUR,1.64,2.13446442,209
15549,01W,20110513,UNICREDIT SPA,EUR,1.669,2.13446442,209
15549,01W,20110516,UNICREDIT SPA,EUR,1.644,2.13446442,209
15549,01W,20110517,UNICREDIT SPA,EUR,1.626,2.13446442,209
15549,01W,20110518,UNICREDIT SPA,EUR,1.611,2.13446442,209
15549,01W,20110519,UNICREDIT SPA,EUR,1.631,2.13446442,209
15549,01W,20110520,UNICREDIT SPA,EUR,1.569,2.13446442,209
15549,01W,20110523,UNICREDIT SPA,EUR,1.53,2.17631667,209
15549,01W,20110524,UNICREDIT SPA,EUR,1.527,2.17631667,209
