gvkey,iid,datadate,conm,curcdd,prccd,exchg,isin,sedol,cik
15362,01W,20150101,WESTPAC BANKING,AUD,33.16,106,AU000000WBC1,6076146,719245
15362,01W,20150102,WESTPAC BANKING,AUD,33.27,106,AU000000WBC1,6076146,719245
15362,01W,20150105,WESTPAC BANKING,AUD,33.16,106,AU000000WBC1,6076146,719245
15362,01W,20150106,WESTPAC BANKING,AUD,32.87,106,AU000000WBC1,6076146,719245
15362,01W,20150107,WESTPAC BANKING,AUD,32.69,106,AU000000WBC1,6076146,719245
15362,01W,20150108,WESTPAC BANKING,AUD,32.81,106,AU000000WBC1,6076146,719245
15362,01W,20150109,WESTPAC BANKING,AUD,33.4,106,AU000000WBC1,6076146,719245
15362,01W,20150112,WESTPAC BANKING,AUD,33.34,106,AU000000WBC1,6076146,719245
15362,01W,20150113,WESTPAC BANKING,AUD,33.4,106,AU000000WBC1,6076146,719245
15362,01W,20150114,WESTPAC BANKING,AUD,33.13,106,AU000000WBC1,6076146,719245
15362,01W,20150115,WESTPAC BANKING,AUD,32.79,106,AU000000WBC1,6076146,719245
15362,01W,20150116,WESTPAC BANKING,AUD,32.76,106,AU000000WBC1,6076146,719245
15362,01W,20150119,WESTPAC BANKING,AUD,32.63,106,AU000000WBC1,6076146,719245
15362,01W,20150120,WESTPAC BANKING,AUD,32.89,106,AU000000WBC1,6076146,719245
15362,01W,20150121,WESTPAC BANKING,AUD,33.38,106,AU000000WBC1,6076146,719245
15362,01W,20150122,WESTPAC BANKING,AUD,33.86,106,AU000000WBC1,6076146,719245
15362,01W,20150123,WESTPAC BANKING,AUD,34.32,106,AU000000WBC1,6076146,719245
15362,01W,20150126,WESTPAC BANKING,AUD,34.32,106,AU000000WBC1,6076146,719245
15362,01W,20150127,WESTPAC BANKING,AUD,34.56,106,AU000000WBC1,6076146,719245
15362,01W,20150128,WESTPAC BANKING,AUD,34.68,106,AU000000WBC1,6076146,719245
15362,01W,20150129,WESTPAC BANKING,AUD,34.64,106,AU000000WBC1,6076146,719245
15362,01W,20150130,WESTPAC BANKING,AUD,34.46,106,AU000000WBC1,6076146,719245
15362,01W,20150202,WESTPAC BANKING,AUD,34.85,106,AU000000WBC1,6076146,719245
15362,01W,20150203,WESTPAC BANKING,AUD,35.26,106,AU000000WBC1,6076146,719245
15362,01W,20150204,WESTPAC BANKING,AUD,36.23,106,AU000000WBC1,6076146,719245
15362,01W,20150205,WESTPAC BANKING,AUD,36.44,106,AU000000WBC1,6076146,719245
15362,01W,20150206,WESTPAC BANKING,AUD,36.96,106,AU000000WBC1,6076146,719245
15362,01W,20150209,WESTPAC BANKING,AUD,37.05,106,AU000000WBC1,6076146,719245
15362,01W,20150210,WESTPAC BANKING,AUD,36.81,106,AU000000WBC1,6076146,719245
15362,01W,20150211,WESTPAC BANKING,AUD,36.83,106,AU000000WBC1,6076146,719245
15362,01W,20150212,WESTPAC BANKING,AUD,36.69,106,AU000000WBC1,6076146,719245
15362,01W,20150213,WESTPAC BANKING,AUD,37.53,106,AU000000WBC1,6076146,719245
15362,01W,20150216,WESTPAC BANKING,AUD,37.65,106,AU000000WBC1,6076146,719245
15362,01W,20150217,WESTPAC BANKING,AUD,37.67,106,AU000000WBC1,6076146,719245
