PERMNO,date,NCUSIP,TICKER,COMNAM,TSYMBOL,PERMCO,CUSIP,PRC,vwretx,ewretx,sprtrn
83435,20150102,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,50.17,-0.00038,0.00143,-0.00034
83435,20150105,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,49.13,-0.018346,-0.01263,-0.018278
83435,20150106,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,49.21,-0.009664,-0.010179,-0.008893
83435,20150107,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,48.59,0.010917,0.007985,0.01163
83435,20150108,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,50.23,0.016847,0.013032,0.017888
83435,20150109,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,49.72,-0.007555,-0.004124,-0.008404
83435,20150112,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,48.8,-0.007788,-0.004697,-0.008094
83435,20150113,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,48.3,-0.002386,-0.002701,-0.002579
83435,20150114,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,47.51,-0.005241,-0.00393,-0.005813
83435,20150115,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,46.23,-0.009221,-0.010606,-0.009248
83435,20150116,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,46.47,0.013835,0.012351,0.013424
83435,20150120,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,47.63,0.000235,-0.003479,0.00155
83435,20150121,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,48.18,0.004439,0.000928,0.004732
83435,20150122,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,48.89,0.014677,0.010946,0.01527
83435,20150123,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,48.95,-0.0042,-0.002666,-0.005492
83435,20150126,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,49.44,0.004393,0.007365,0.002568
83435,20150127,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,47.99,-0.010027,-0.001501,-0.013388
83435,20150128,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,46.46,-0.01424,-0.012793,-0.013496
83435,20150129,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,43.73,0.008378,0.006127,0.009535
83435,20150130,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,43.99,-0.012212,-0.009685,-0.012992
83435,20150202,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,44.685,0.012194,0.008706,0.012962
83435,20150203,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,44.7,0.014991,0.015399,0.014439
83435,20150204,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,44.045,-0.004703,-0.004626,-0.004156
83435,20150205,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,43.545,0.011247,0.011554,0.010291
83435,20150206,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,42.94,-0.003779,-0.002918,-0.003418
83435,20150209,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,42.57,-0.004132,-0.002002,-0.004247
83435,20150210,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,43.07,0.008578,0.002193,0.010676
83435,20150211,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,42.96,-0.000654,-0.001596,-0.000029
83435,20150212,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,43.925,0.010247,0.009818,0.009645
83435,20150213,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,44.42,0.004672,0.007094,0.004075
83435,20150217,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,43.53,0.001634,0.002105,0.001598
83435,20150218,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,43.65,0.00005,0.002041,-0.000314
83435,20150219,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,44.37,-0.001167,0.000386,-0.001062
