gvkey,iid,datadate,conm,curcdd,prccd,trfd,exchg
015549,01W,20110103,UNICREDIT SPA,EUR,1.5840,2.13446442,209
015549,01W,20110104,UNICREDIT SPA,EUR,1.5900,2.13446442,209
015549,01W,20110105,UNICREDIT SPA,EUR,1.5790,2.13446442,209
015549,01W,20110106,UNICREDIT SPA,EUR,1.5550,2.13446442,209
015549,01W,20110107,UNICREDIT SPA,EUR,1.5300,2.13446442,209
015549,01W,20110110,UNICREDIT SPA,EUR,1.4740,2.13446442,209
015549,01W,20110111,UNICREDIT SPA,EUR,1.5080,2.13446442,209
015549,01W,20110112,UNICREDIT SPA,EUR,1.6540,2.13446442,209
015549,01W,20110113,UNICREDIT SPA,EUR,1.7000,2.13446442,209
015549,01W,20110114,UNICREDIT SPA,EUR,1.7140,2.13446442,209
015549,01W,20110117,UNICREDIT SPA,EUR,1.7010,2.13446442,209
015549,01W,20110118,UNICREDIT SPA,EUR,1.7310,2.13446442,209
015549,01W,20110119,UNICREDIT SPA,EUR,1.7830,2.13446442,209
015549,01W,20110120,UNICREDIT SPA,EUR,1.8220,2.13446442,209
015549,01W,20110121,UNICREDIT SPA,EUR,1.8370,2.13446442,209
015549,01W,20110124,UNICREDIT SPA,EUR,1.8780,2.13446442,209
015549,01W,20110125,UNICREDIT SPA,EUR,1.8310,2.13446442,209
015549,01W,20110126,UNICREDIT SPA,EUR,1.8040,2.13446442,209
015549,01W,20110127,UNICREDIT SPA,EUR,1.8480,2.13446442,209
015549,01W,20110128,UNICREDIT SPA,EUR,1.8270,2.13446442,209
015549,01W,20110131,UNICREDIT SPA,EUR,1.8090,2.13446442,209
015549,01W,20110201,UNICREDIT SPA,EUR,1.8290,2.13446442,209
015549,01W,20110202,UNICREDIT SPA,EUR,1.8840,2.13446442,209
015549,01W,20110203,UNICREDIT SPA,EUR,1.8450,2.13446442,209
015549,01W,20110204,UNICREDIT SPA,EUR,1.8840,2.13446442,209
015549,01W,20110207,UNICREDIT SPA,EUR,1.9060,2.13446442,209
015549,01W,20110208,UNICREDIT SPA,EUR,1.8710,2.13446442,209
015549,01W,20110209,UNICREDIT SPA,EUR,1.8640,2.13446442,209
