gvkey,iid,datadate,tic,conm,prccd
006307,03,01/02/2014,SHLDQ,SEARS HOLDINGS CORP,47.0800
006307,03,01/03/2014,SHLDQ,SEARS HOLDINGS CORP,46.1300
006307,03,01/06/2014,SHLDQ,SEARS HOLDINGS CORP,44.7800
006307,03,01/07/2014,SHLDQ,SEARS HOLDINGS CORP,43.8300
006307,03,01/08/2014,SHLDQ,SEARS HOLDINGS CORP,43.9700
006307,03,01/09/2014,SHLDQ,SEARS HOLDINGS CORP,42.5700
006307,03,01/10/2014,SHLDQ,SEARS HOLDINGS CORP,36.7100
006307,03,01/13/2014,SHLDQ,SEARS HOLDINGS CORP,35.4600
006307,03,01/14/2014,SHLDQ,SEARS HOLDINGS CORP,35.6600
006307,03,01/15/2014,SHLDQ,SEARS HOLDINGS CORP,36.7000
006307,03,01/16/2014,SHLDQ,SEARS HOLDINGS CORP,38.3700
006307,03,01/17/2014,SHLDQ,SEARS HOLDINGS CORP,37.5800
006307,03,01/21/2014,SHLDQ,SEARS HOLDINGS CORP,37.8500
006307,03,01/22/2014,SHLDQ,SEARS HOLDINGS CORP,37.5900
006307,03,01/23/2014,SHLDQ,SEARS HOLDINGS CORP,37.3600
006307,03,01/24/2014,SHLDQ,SEARS HOLDINGS CORP,38.1500
006307,03,01/27/2014,SHLDQ,SEARS HOLDINGS CORP,38.3900
006307,03,01/28/2014,SHLDQ,SEARS HOLDINGS CORP,38.4100
006307,03,01/29/2014,SHLDQ,SEARS HOLDINGS CORP,36.3600
006307,03,01/30/2014,SHLDQ,SEARS HOLDINGS CORP,36.5000
006307,03,01/31/2014,SHLDQ,SEARS HOLDINGS CORP,36.3700
006307,03,02/03/2014,SHLDQ,SEARS HOLDINGS CORP,35.2300
006307,03,02/04/2014,SHLDQ,SEARS HOLDINGS CORP,33.9900
006307,03,02/05/2014,SHLDQ,SEARS HOLDINGS CORP,34.3500
006307,03,02/06/2014,SHLDQ,SEARS HOLDINGS CORP,35.8200
006307,03,02/07/2014,SHLDQ,SEARS HOLDINGS CORP,35.5000
006307,03,02/10/2014,SHLDQ,SEARS HOLDINGS CORP,35.7200
006307,03,02/11/2014,SHLDQ,SEARS HOLDINGS CORP,38.7200
006307,03,02/12/2014,SHLDQ,SEARS HOLDINGS CORP,40.3900
006307,03,02/13/2014,SHLDQ,SEARS HOLDINGS CORP,43.4200
006307,03,02/14/2014,SHLDQ,SEARS HOLDINGS CORP,41.4400
006307,03,02/18/2014,SHLDQ,SEARS HOLDINGS CORP,41.1700
006307,03,02/19/2014,SHLDQ,SEARS HOLDINGS CORP,40.9800
006307,03,02/20/2014,SHLDQ,SEARS HOLDINGS CORP,41.1500
006307,03,02/21/2014,SHLDQ,SEARS HOLDINGS CORP,40.9300
006307,03,02/24/2014,SHLDQ,SEARS HOLDINGS CORP,38.0500
006307,03,02/25/2014,SHLDQ,SEARS HOLDINGS CORP,38.9900
006307,03,02/26/2014,SHLDQ,SEARS HOLDINGS CORP,40.4000
006307,03,02/27/2014,SHLDQ,SEARS HOLDINGS CORP,43.0100
006307,03,02/28/2014,SHLDQ,SEARS HOLDINGS CORP,44.7500
006307,03,03/03/2014,SHLDQ,SEARS HOLDINGS CORP,46.2400
006307,03,03/04/2014,SHLDQ,SEARS HOLDINGS CORP,45.8400
006307,03,03/05/2014,SHLDQ,SEARS HOLDINGS CORP,44.2800
006307,03,03/06/2014,SHLDQ,SEARS HOLDINGS CORP,44.2600
006307,03,03/07/2014,SHLDQ,SEARS HOLDINGS CORP,45.2500
006307,03,03/10/2014,SHLDQ,SEARS HOLDINGS CORP,47.9700
006307,03,03/11/2014,SHLDQ,SEARS HOLDINGS CORP,46.8800
006307,03,03/12/2014,SHLDQ,SEARS HOLDINGS CORP,46.9000
006307,03,03/13/2014,SHLDQ,SEARS HOLDINGS CORP,45.5600
006307,03,03/14/2014,SHLDQ,SEARS HOLDINGS CORP,44.0100
006307,03,03/17/2014,SHLDQ,SEARS HOLDINGS CORP,44.8400
006307,03,03/18/2014,SHLDQ,SEARS HOLDINGS CORP,45.8800
006307,03,03/19/2014,SHLDQ,SEARS HOLDINGS CORP,48.3000
006307,03,03/20/2014,SHLDQ,SEARS HOLDINGS CORP,48.5000
006307,03,03/21/2014,SHLDQ,SEARS HOLDINGS CORP,47.9400
006307,03,03/24/2014,SHLDQ,SEARS HOLDINGS CORP,48.1600
006307,03,03/25/2014,SHLDQ,SEARS HOLDINGS CORP,47.9700
006307,03,03/26/2014,SHLDQ,SEARS HOLDINGS CORP,46.6400
006307,03,03/27/2014,SHLDQ,SEARS HOLDINGS CORP,46.5600
006307,03,03/28/2014,SHLDQ,SEARS HOLDINGS CORP,46.6100
006307,03,03/31/2014,SHLDQ,SEARS HOLDINGS CORP,47.7600
006307,03,04/01/2014,SHLDQ,SEARS HOLDINGS CORP,48.6200
006307,03,04/02/2014,SHLDQ,SEARS HOLDINGS CORP,50.0500
006307,03,04/03/2014,SHLDQ,SEARS HOLDINGS CORP,50.1900
006307,03,04/04/2014,SHLDQ,SEARS HOLDINGS CORP,50.2100
006307,03,04/07/2014,SHLDQ,SEARS HOLDINGS CORP,38.1000
006307,03,04/08/2014,SHLDQ,SEARS HOLDINGS CORP,36.9900
006307,03,04/09/2014,SHLDQ,SEARS HOLDINGS CORP,35.9700
006307,03,04/10/2014,SHLDQ,SEARS HOLDINGS CORP,34.4000
006307,03,04/11/2014,SHLDQ,SEARS HOLDINGS CORP,32.6200
006307,03,04/14/2014,SHLDQ,SEARS HOLDINGS CORP,31.7100
006307,03,04/15/2014,SHLDQ,SEARS HOLDINGS CORP,33.5700
006307,03,04/16/2014,SHLDQ,SEARS HOLDINGS CORP,33.6000
006307,03,04/17/2014,SHLDQ,SEARS HOLDINGS CORP,38.3300
006307,03,04/21/2014,SHLDQ,SEARS HOLDINGS CORP,39.6000
006307,03,04/22/2014,SHLDQ,SEARS HOLDINGS CORP,40.7600
006307,03,04/23/2014,SHLDQ,SEARS HOLDINGS CORP,43.2500
006307,03,04/24/2014,SHLDQ,SEARS HOLDINGS CORP,43.2200
006307,03,04/25/2014,SHLDQ,SEARS HOLDINGS CORP,41.8100
006307,03,04/28/2014,SHLDQ,SEARS HOLDINGS CORP,43.5000
006307,03,04/29/2014,SHLDQ,SEARS HOLDINGS CORP,44.4500
006307,03,04/30/2014,SHLDQ,SEARS HOLDINGS CORP,43.8100
006307,03,05/01/2014,SHLDQ,SEARS HOLDINGS CORP,44.5300
006307,03,05/02/2014,SHLDQ,SEARS HOLDINGS CORP,44.0200
006307,03,05/05/2014,SHLDQ,SEARS HOLDINGS CORP,42.6700
006307,03,05/06/2014,SHLDQ,SEARS HOLDINGS CORP,40.5800
006307,03,05/07/2014,SHLDQ,SEARS HOLDINGS CORP,41.7400
006307,03,05/08/2014,SHLDQ,SEARS HOLDINGS CORP,41.7600
006307,03,05/09/2014,SHLDQ,SEARS HOLDINGS CORP,42.9400
006307,03,05/12/2014,SHLDQ,SEARS HOLDINGS CORP,43.4700
006307,03,05/13/2014,SHLDQ,SEARS HOLDINGS CORP,43.2300
006307,03,05/14/2014,SHLDQ,SEARS HOLDINGS CORP,40.7000
006307,03,05/15/2014,SHLDQ,SEARS HOLDINGS CORP,39.3300
006307,03,05/16/2014,SHLDQ,SEARS HOLDINGS CORP,40.1400
006307,03,05/19/2014,SHLDQ,SEARS HOLDINGS CORP,39.6300
006307,03,05/20/2014,SHLDQ,SEARS HOLDINGS CORP,37.9500
006307,03,05/21/2014,SHLDQ,SEARS HOLDINGS CORP,36.5600
006307,03,05/22/2014,SHLDQ,SEARS HOLDINGS CORP,38.1000
006307,03,05/23/2014,SHLDQ,SEARS HOLDINGS CORP,37.6400
006307,03,05/27/2014,SHLDQ,SEARS HOLDINGS CORP,37.6400
006307,03,05/28/2014,SHLDQ,SEARS HOLDINGS CORP,38.2400
006307,03,05/29/2014,SHLDQ,SEARS HOLDINGS CORP,41.1500
006307,03,05/30/2014,SHLDQ,SEARS HOLDINGS CORP,42.0550
006307,03,06/02/2014,SHLDQ,SEARS HOLDINGS CORP,39.3600
006307,03,06/03/2014,SHLDQ,SEARS HOLDINGS CORP,38.9000
006307,03,06/04/2014,SHLDQ,SEARS HOLDINGS CORP,40.1700
006307,03,06/05/2014,SHLDQ,SEARS HOLDINGS CORP,40.0900
006307,03,06/06/2014,SHLDQ,SEARS HOLDINGS CORP,40.8000
006307,03,06/09/2014,SHLDQ,SEARS HOLDINGS CORP,40.9800
006307,03,06/10/2014,SHLDQ,SEARS HOLDINGS CORP,40.0200
006307,03,06/11/2014,SHLDQ,SEARS HOLDINGS CORP,39.0800
006307,03,06/12/2014,SHLDQ,SEARS HOLDINGS CORP,38.5100
006307,03,06/13/2014,SHLDQ,SEARS HOLDINGS CORP,39.1000
006307,03,06/16/2014,SHLDQ,SEARS HOLDINGS CORP,39.2000
006307,03,06/17/2014,SHLDQ,SEARS HOLDINGS CORP,39.5700
006307,03,06/18/2014,SHLDQ,SEARS HOLDINGS CORP,39.5500
006307,03,06/19/2014,SHLDQ,SEARS HOLDINGS CORP,40.9800
006307,03,06/20/2014,SHLDQ,SEARS HOLDINGS CORP,41.0200
006307,03,06/23/2014,SHLDQ,SEARS HOLDINGS CORP,39.7300
006307,03,06/24/2014,SHLDQ,SEARS HOLDINGS CORP,38.7900
006307,03,06/25/2014,SHLDQ,SEARS HOLDINGS CORP,38.8500
006307,03,06/26/2014,SHLDQ,SEARS HOLDINGS CORP,38.1300
006307,03,06/27/2014,SHLDQ,SEARS HOLDINGS CORP,38.1600
006307,03,06/30/2014,SHLDQ,SEARS HOLDINGS CORP,39.9600
006307,03,07/01/2014,SHLDQ,SEARS HOLDINGS CORP,40.4100
006307,03,07/02/2014,SHLDQ,SEARS HOLDINGS CORP,41.4400
006307,03,07/03/2014,SHLDQ,SEARS HOLDINGS CORP,40.9200
006307,03,07/07/2014,SHLDQ,SEARS HOLDINGS CORP,40.1200
006307,03,07/08/2014,SHLDQ,SEARS HOLDINGS CORP,38.9200
006307,03,07/09/2014,SHLDQ,SEARS HOLDINGS CORP,38.9400
006307,03,07/10/2014,SHLDQ,SEARS HOLDINGS CORP,38.3500
006307,03,07/11/2014,SHLDQ,SEARS HOLDINGS CORP,38.9300
006307,03,07/14/2014,SHLDQ,SEARS HOLDINGS CORP,39.4500
006307,03,07/15/2014,SHLDQ,SEARS HOLDINGS CORP,38.9100
006307,03,07/16/2014,SHLDQ,SEARS HOLDINGS CORP,39.2700
006307,03,07/17/2014,SHLDQ,SEARS HOLDINGS CORP,37.3700
006307,03,07/18/2014,SHLDQ,SEARS HOLDINGS CORP,38.6000
