ticker,date,close,sp500,nasdaq,bond,tbill,stock_return,market_return,daily_riskfree_rate,riskfree_rate_return,rmrf,alpha,b_mkt,b_smb,b_hml,b_umd
UCG,42811,14.6,2378.253051,5901,2.5,0.73,0,-0.001314889,0.003438124,-0.011928571,0.010613681,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42814,14.42,2373.471609,5901.53,2.47,0.76,-0.012405397,-0.002012509,0.003414459,-0.012072581,0.010060072,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42815,14.3,2344.017119,5793.82,2.43,0.77,-0.008356595,-0.012487522,0.003382586,-0.016326893,0.003839371,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42816,14.48,2348.448836,5821.64,2.4,0.77,0.01250885,0.001888865,0.003358436,-0.01242252,0.014311385,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42817,14.49,2345.962163,5817.69,2.41,0.76,0.000690369,-0.001059419,0.00336651,0.00415801,-0.005217429,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42818,14.39,2343.97814,5828.74,2.4,0.78,-0.006925235,-0.000846076,0.003358436,-0.00415801,0.003311934,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42821,14.23,2341.590595,5840.37,2.38,0.78,-0.011181109,-0.001019106,0.003342219,-0.00836825,0.007349144,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42822,14.47,2358.566462,5875.14,2.42,0.78,0.016725129,0.007223563,0.003374559,0.016667052,-0.009443489,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42823,14.29,2361.132961,5897.55,2.39,0.78,-0.012517549,0.001087569,0.003350339,-0.012474174,0.013561743,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42824,14.28,2368.060568,5914.34,2.42,0.78,-0.000700035,0.002929722,0.003374559,0.012474174,-0.009544452,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42825,14.45,2362.71822,5911.74,2.4,0.76,0.011834458,-0.00225855,0.003358436,-0.008298803,0.006040253,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42828,14.06,2358.83509,5894.68,2.35,0.79,-0.027360528,-0.001644853,0.003317712,-0.021053409,0.019408556,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42829,14.01,2360.155691,5898.61,2.36,0.79,-0.003562526,0.000559696,0.003325905,0.004246291,-0.003686595,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42830,14.14,2352.948191,5864.48,2.34,0.8,0.0092363,-0.003058496,0.003309494,-0.00851069,0.005452193,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42831,14.17,2357.48907,5878.95,2.34,0.79,0.002119393,0.001928008,0.003309494,0,0.001928008,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42832,14.11,2355.544992,5877.81,2.38,0.82,-0.004243288,-0.00082498,0.003342219,0.016949558,-0.017774538,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42835,13.93,2357.163381,5880.93,2.37,0.82,-0.012838978,0.000686819,0.003334074,-0.004210533,0.004897352,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42836,13.51,2353.776992,5866.77,2.32,0.82,-0.030614636,-0.00143767,0.003292985,-0.021322769,0.019885099,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42837,13.21,2344.926332,5836.16,2.28,0.81,-0.022456033,-0.003767282,0.003259667,-0.017391743,0.013624461,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42838,12.89,2328.953347,5805.15,2.24,0.81,-0.024522302,-0.006835027,0.003225941,-0.017699577,0.01086455,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42842,12.89,2349.010221,5856.79,2.26,0.83,0,0.008575097,0.003242855,0.008888947,-0.00031385,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42843,12.85,2342.187831,5849.47,2.18,0.82,-0.003108006,-0.002908594,0.003174566,-0.036039936,0.033131343,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42844,13.63,2338.165988,5863.04,2.21,0.81,0.058929434,-0.001718607,0.003200373,0.013667639,-0.015386246,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42845,13.88,2355.84408,5916.78,2.24,0.79,0.018175709,0.007532228,0.003225941,0.01348335,-0.005951123,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42846,13.64,2348.694958,5910.52,2.24,0.79,-0.017442303,-0.003039247,0.003225941,0,-0.003039247,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42849,15.44,2374.150691,5983.82,2.28,0.81,0.123954892,0.010779933,0.003259667,0.017699577,-0.006919644,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42850,15.82,2388.614925,6025.49,2.35,0.82,0.024313418,0.006073899,0.003317712,0.030239885,-0.024165986,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42851,15.55,2387.447931,6025.23,2.32,0.83,-0.017214324,-0.000488685,0.003292985,-0.012848142,0.012359458,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42852,14.95,2388.768836,6048.94,2.3,0.81,-0.039349339,0.000553118,0.003276376,-0.008658063,0.009211181,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42853,14.94,2384.195518,6047.61,2.29,0.8,-0.00066912,-0.001916344,0.003268034,-0.004357305,0.002440962,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42856,14.94,2388.327185,6091.6,2.33,0.83,0,0.00173144,0.003301252,0.01731645,-0.01558501,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42857,15.13,2391.165942,6095.37,2.29,0.82,0.012637348,0.00118789,0.003268034,-0.01731645,0.01850434,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42858,15.42,2388.134893,6072.55,2.33,0.85,0.01898584,-0.001268407,0.003301252,0.01731645,-0.018584857,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42859,15.97,2389.521661,6075.34,2.36,0.86,0.035046594,0.000580522,0.003325905,0.012793351,-0.012212829,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42860,16.22,2399.28571,6100.76,2.36,0.9,0.015533086,0.004077868,0.003325905,0,0.004077868,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42863,16.01,2399.377329,6102.66,2.39,0.91,-0.013031522,3.81851E-05,0.003350339,0.012631747,-0.012593562,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42864,15.9,2396.919424,6120.59,2.42,0.91,-0.006894418,-0.001024918,0.003374559,0.012474174,-0.013499092,#N/A,#N/A,#N/A,#N/A,#N/A
UCG,42865,16.09,2399.629959,6129.14,2.41,0.9,0.011878852,0.001130202,0.00336651,-0.004140793,0.005270995,#N/A,#N/A,#N/A,#N/A,#N/A
