gvkey,iid,datadate,conm,curcdd,prccd,exchg,isin,sedol,cik
015362,01W,20150101,WESTPAC BANKING,AUD,33.1600,106,AU000000WBC1,6076146,0000719245
015362,01W,20150102,WESTPAC BANKING,AUD,33.2700,106,AU000000WBC1,6076146,0000719245
015362,01W,20150105,WESTPAC BANKING,AUD,33.1600,106,AU000000WBC1,6076146,0000719245
015362,01W,20150106,WESTPAC BANKING,AUD,32.8700,106,AU000000WBC1,6076146,0000719245
015362,01W,20150107,WESTPAC BANKING,AUD,32.6900,106,AU000000WBC1,6076146,0000719245
015362,01W,20150108,WESTPAC BANKING,AUD,32.8100,106,AU000000WBC1,6076146,0000719245
015362,01W,20150109,WESTPAC BANKING,AUD,33.4000,106,AU000000WBC1,6076146,0000719245
015362,01W,20150112,WESTPAC BANKING,AUD,33.3400,106,AU000000WBC1,6076146,0000719245
015362,01W,20150113,WESTPAC BANKING,AUD,33.4000,106,AU000000WBC1,6076146,0000719245
015362,01W,20150114,WESTPAC BANKING,AUD,33.1300,106,AU000000WBC1,6076146,0000719245
015362,01W,20150115,WESTPAC BANKING,AUD,32.7900,106,AU000000WBC1,6076146,0000719245
015362,01W,20150116,WESTPAC BANKING,AUD,32.7600,106,AU000000WBC1,6076146,0000719245
015362,01W,20150119,WESTPAC BANKING,AUD,32.6300,106,AU000000WBC1,6076146,0000719245
015362,01W,20150120,WESTPAC BANKING,AUD,32.8900,106,AU000000WBC1,6076146,0000719245
015362,01W,20150121,WESTPAC BANKING,AUD,33.3800,106,AU000000WBC1,6076146,0000719245
015362,01W,20150122,WESTPAC BANKING,AUD,33.8600,106,AU000000WBC1,6076146,0000719245
015362,01W,20150123,WESTPAC BANKING,AUD,34.3200,106,AU000000WBC1,6076146,0000719245
015362,01W,20150126,WESTPAC BANKING,AUD,34.3200,106,AU000000WBC1,6076146,0000719245
015362,01W,20150127,WESTPAC BANKING,AUD,34.5600,106,AU000000WBC1,6076146,0000719245
015362,01W,20150128,WESTPAC BANKING,AUD,34.6800,106,AU000000WBC1,6076146,0000719245
015362,01W,20150129,WESTPAC BANKING,AUD,34.6400,106,AU000000WBC1,6076146,0000719245
015362,01W,20150130,WESTPAC BANKING,AUD,34.4600,106,AU000000WBC1,6076146,0000719245
015362,01W,20150202,WESTPAC BANKING,AUD,34.8500,106,AU000000WBC1,6076146,0000719245
015362,01W,20150203,WESTPAC BANKING,AUD,35.2600,106,AU000000WBC1,6076146,0000719245
015362,01W,20150204,WESTPAC BANKING,AUD,36.2300,106,AU000000WBC1,6076146,0000719245
015362,01W,20150205,WESTPAC BANKING,AUD,36.4400,106,AU000000WBC1,6076146,0000719245
015362,01W,20150206,WESTPAC BANKING,AUD,36.9600,106,AU000000WBC1,6076146,0000719245
015362,01W,20150209,WESTPAC BANKING,AUD,37.0500,106,AU000000WBC1,6076146,0000719245
015362,01W,20150210,WESTPAC BANKING,AUD,36.8100,106,AU000000WBC1,6076146,0000719245
015362,01W,20150211,WESTPAC BANKING,AUD,36.8300,106,AU000000WBC1,6076146,0000719245
015362,01W,20150212,WESTPAC BANKING,AUD,36.6900,106,AU000000WBC1,6076146,0000719245
015362,01W,20150213,WESTPAC BANKING,AUD,37.5300,106,AU000000WBC1,6076146,0000719245
015362,01W,20150216,WESTPAC BANKING,AUD,37.6500,106,AU000000WBC1,6076146,0000719245
015362,01W,20150217,WESTPAC BANKING,AUD,37.6700,106,AU000000WBC1,6076146,0000719245
015362,01W,20150218,WESTPAC BANKING,AUD,38.0000,106,AU000000WBC1,6076146,0000719245
015362,01W,20150219,WESTPAC BANKING,AUD,37.9500,106,AU000000WBC1,6076146,0000719245
015362,01W,20150220,WESTPAC BANKING,AUD,37.6300,106,AU000000WBC1,6076146,0000719245
015362,01W,20150223,WESTPAC BANKING,AUD,37.7200,106,AU000000WBC1,6076146,0000719245
015362,01W,20150224,WESTPAC BANKING,AUD,37.9700,106,AU000000WBC1,6076146,0000719245
015362,01W,20150225,WESTPAC BANKING,AUD,37.8800,106,AU000000WBC1,6076146,0000719245
015362,01W,20150226,WESTPAC BANKING,AUD,37.6800,106,AU000000WBC1,6076146,0000719245
