gvkey,iid,datadate,conm,curcdd,prccd,exchg
015362,01W,20140101,WESTPAC BANKING,AUD,32.3800,106
015362,01W,20140102,WESTPAC BANKING,AUD,32.3400,106
015362,01W,20140103,WESTPAC BANKING,AUD,32.3400,106
015362,01W,20140106,WESTPAC BANKING,AUD,32.1200,106
015362,01W,20140107,WESTPAC BANKING,AUD,32.0800,106
015362,01W,20140108,WESTPAC BANKING,AUD,32.0400,106
015362,01W,20140109,WESTPAC BANKING,AUD,31.9400,106
015362,01W,20140110,WESTPAC BANKING,AUD,32.2200,106
015362,01W,20140113,WESTPAC BANKING,AUD,32.0100,106
015362,01W,20140114,WESTPAC BANKING,AUD,31.5100,106
015362,01W,20140115,WESTPAC BANKING,AUD,31.7100,106
015362,01W,20140116,WESTPAC BANKING,AUD,31.8300,106
015362,01W,20140117,WESTPAC BANKING,AUD,31.6000,106
015362,01W,20140120,WESTPAC BANKING,AUD,31.5300,106
015362,01W,20140121,WESTPAC BANKING,AUD,31.7900,106
015362,01W,20140122,WESTPAC BANKING,AUD,31.9500,106
015362,01W,20140123,WESTPAC BANKING,AUD,31.4400,106
015362,01W,20140124,WESTPAC BANKING,AUD,31.1200,106
015362,01W,20140127,WESTPAC BANKING,AUD,31.1200,106
015362,01W,20140128,WESTPAC BANKING,AUD,30.7800,106
015362,01W,20140129,WESTPAC BANKING,AUD,31.2000,106
015362,01W,20140130,WESTPAC BANKING,AUD,30.8900,106
015362,01W,20140131,WESTPAC BANKING,AUD,30.8700,106
015362,01W,20140203,WESTPAC BANKING,AUD,30.9900,106
015362,01W,20140204,WESTPAC BANKING,AUD,30.4000,106
015362,01W,20140205,WESTPAC BANKING,AUD,30.3100,106
015362,01W,20140206,WESTPAC BANKING,AUD,30.8300,106
015362,01W,20140207,WESTPAC BANKING,AUD,31.2500,106
015362,01W,20140210,WESTPAC BANKING,AUD,31.7700,106
015362,01W,20140211,WESTPAC BANKING,AUD,32.2300,106
015362,01W,20140212,WESTPAC BANKING,AUD,32.5000,106
015362,01W,20140213,WESTPAC BANKING,AUD,32.4400,106
015362,01W,20140214,WESTPAC BANKING,AUD,32.7500,106
015362,01W,20140217,WESTPAC BANKING,AUD,32.9100,106
015362,01W,20140218,WESTPAC BANKING,AUD,32.8600,106
015362,01W,20140219,WESTPAC BANKING,AUD,33.2400,106
015362,01W,20140220,WESTPAC BANKING,AUD,33.1000,106
015362,01W,20140221,WESTPAC BANKING,AUD,33.3100,106
015362,01W,20140224,WESTPAC BANKING,AUD,33.5700,106
015362,01W,20140225,WESTPAC BANKING,AUD,33.4200,106
015362,01W,20140226,WESTPAC BANKING,AUD,33.5600,106
015362,01W,20140227,WESTPAC BANKING,AUD,33.5400,106
015362,01W,20140228,WESTPAC BANKING,AUD,33.4700,106
015362,01W,20140303,WESTPAC BANKING,AUD,33.3100,106
015362,01W,20140304,WESTPAC BANKING,AUD,33.6500,106
015362,01W,20140305,WESTPAC BANKING,AUD,34.2300,106
015362,01W,20140306,WESTPAC BANKING,AUD,34.3100,106
015362,01W,20140307,WESTPAC BANKING,AUD,33.9000,106
015362,01W,20140310,WESTPAC BANKING,AUD,33.7700,106
015362,01W,20140311,WESTPAC BANKING,AUD,34.2900,106
015362,01W,20140312,WESTPAC BANKING,AUD,33.9400,106
015362,01W,20140313,WESTPAC BANKING,AUD,34.2500,106
015362,01W,20140314,WESTPAC BANKING,AUD,33.6500,106
015362,01W,20140317,WESTPAC BANKING,AUD,33.5400,106
015362,01W,20140318,WESTPAC BANKING,AUD,33.5900,106
015362,01W,20140319,WESTPAC BANKING,AUD,33.7500,106
015362,01W,20140320,WESTPAC BANKING,AUD,33.2400,106
015362,01W,20140321,WESTPAC BANKING,AUD,33.6000,106
015362,01W,20140324,WESTPAC BANKING,AUD,33.6200,106
015362,01W,20140325,WESTPAC BANKING,AUD,33.8600,106
015362,01W,20140326,WESTPAC BANKING,AUD,34.2800,106
015362,01W,20140327,WESTPAC BANKING,AUD,34.2200,106
015362,01W,20140328,WESTPAC BANKING,AUD,34.4300,106
015362,01W,20140331,WESTPAC BANKING,AUD,34.5600,106
015362,01W,20140401,WESTPAC BANKING,AUD,34.5900,106
015362,01W,20140402,WESTPAC BANKING,AUD,34.6200,106
015362,01W,20140403,WESTPAC BANKING,AUD,34.4700,106
015362,01W,20140404,WESTPAC BANKING,AUD,34.6000,106
015362,01W,20140407,WESTPAC BANKING,AUD,34.4800,106
015362,01W,20140408,WESTPAC BANKING,AUD,34.4600,106
015362,01W,20140409,WESTPAC BANKING,AUD,34.7000,106
015362,01W,20140410,WESTPAC BANKING,AUD,34.8600,106
015362,01W,20140411,WESTPAC BANKING,AUD,34.6600,106
015362,01W,20140414,WESTPAC BANKING,AUD,34.1500,106
015362,01W,20140415,WESTPAC BANKING,AUD,34.3700,106
015362,01W,20140416,WESTPAC BANKING,AUD,34.5900,106
015362,01W,20140417,WESTPAC BANKING,AUD,34.9400,106
015362,01W,20140418,WESTPAC BANKING,AUD,34.9400,106
015362,01W,20140421,WESTPAC BANKING,AUD,34.9400,106
015362,01W,20140422,WESTPAC BANKING,AUD,35.2900,106
015362,01W,20140423,WESTPAC BANKING,AUD,35.6200,106
015362,01W,20140424,WESTPAC BANKING,AUD,35.7800,106
015362,01W,20140425,WESTPAC BANKING,AUD,35.7800,106
015362,01W,20140428,WESTPAC BANKING,AUD,35.8600,106
015362,01W,20140429,WESTPAC BANKING,AUD,35.3900,106
015362,01W,20140430,WESTPAC BANKING,AUD,35.1200,106
015362,01W,20140501,WESTPAC BANKING,AUD,34.7000,106
015362,01W,20140502,WESTPAC BANKING,AUD,34.8700,106
015362,01W,20140505,WESTPAC BANKING,AUD,34.4500,106
015362,01W,20140506,WESTPAC BANKING,AUD,34.6900,106
015362,01W,20140507,WESTPAC BANKING,AUD,34.5000,106
015362,01W,20140508,WESTPAC BANKING,AUD,34.9000,106
015362,01W,20140509,WESTPAC BANKING,AUD,34.9400,106
015362,01W,20140512,WESTPAC BANKING,AUD,34.9000,106
015362,01W,20140513,WESTPAC BANKING,AUD,35.1400,106
015362,01W,20140514,WESTPAC BANKING,AUD,34.2000,106
015362,01W,20140515,WESTPAC BANKING,AUD,34.4800,106
015362,01W,20140516,WESTPAC BANKING,AUD,34.2800,106
015362,01W,20140519,WESTPAC BANKING,AUD,33.7800,106
015362,01W,20140520,WESTPAC BANKING,AUD,33.6800,106
015362,01W,20140521,WESTPAC BANKING,AUD,33.6700,106
015362,01W,20140522,WESTPAC BANKING,AUD,33.8600,106
015362,01W,20140523,WESTPAC BANKING,AUD,34.1900,106
015362,01W,20140526,WESTPAC BANKING,AUD,34.1600,106
015362,01W,20140527,WESTPAC BANKING,AUD,34.3200,106
015362,01W,20140528,WESTPAC BANKING,AUD,34.5000,106
015362,01W,20140529,WESTPAC BANKING,AUD,34.5200,106
015362,01W,20140530,WESTPAC BANKING,AUD,34.4200,106
015362,01W,20140602,WESTPAC BANKING,AUD,34.6000,106
015362,01W,20140603,WESTPAC BANKING,AUD,34.4500,106
015362,01W,20140604,WESTPAC BANKING,AUD,34.3400,106
015362,01W,20140605,WESTPAC BANKING,AUD,34.2000,106
015362,01W,20140606,WESTPAC BANKING,AUD,34.5500,106
015362,01W,20140609,WESTPAC BANKING,AUD,34.5500,106
015362,01W,20140610,WESTPAC BANKING,AUD,34.6300,106
015362,01W,20140611,WESTPAC BANKING,AUD,34.7500,106
015362,01W,20140612,WESTPAC BANKING,AUD,34.5800,106
015362,01W,20140613,WESTPAC BANKING,AUD,34.2600,106
015362,01W,20140616,WESTPAC BANKING,AUD,34.3000,106
015362,01W,20140617,WESTPAC BANKING,AUD,34.1400,106
015362,01W,20140618,WESTPAC BANKING,AUD,33.8400,106
015362,01W,20140619,WESTPAC BANKING,AUD,34.4500,106
015362,01W,20140620,WESTPAC BANKING,AUD,34.1500,106
015362,01W,20140623,WESTPAC BANKING,AUD,34.3700,106
015362,01W,20140624,WESTPAC BANKING,AUD,34.1500,106
015362,01W,20140625,WESTPAC BANKING,AUD,33.8300,106
015362,01W,20140626,WESTPAC BANKING,AUD,34.4300,106
015362,01W,20140627,WESTPAC BANKING,AUD,34.1700,106
015362,01W,20140630,WESTPAC BANKING,AUD,33.8800,106
015362,01W,20140701,WESTPAC BANKING,AUD,33.3800,106
015362,01W,20140702,WESTPAC BANKING,AUD,33.8700,106
015362,01W,20140703,WESTPAC BANKING,AUD,34.1900,106
015362,01W,20140704,WESTPAC BANKING,AUD,34.4000,106
015362,01W,20140707,WESTPAC BANKING,AUD,34.3400,106
015362,01W,20140708,WESTPAC BANKING,AUD,34.2200,106
015362,01W,20140709,WESTPAC BANKING,AUD,33.8500,106
015362,01W,20140710,WESTPAC BANKING,AUD,33.7500,106
015362,01W,20140711,WESTPAC BANKING,AUD,33.9500,106
015362,01W,20140714,WESTPAC BANKING,AUD,34.1400,106
015362,01W,20140715,WESTPAC BANKING,AUD,34.0700,106
015362,01W,20140716,WESTPAC BANKING,AUD,33.8900,106
015362,01W,20140717,WESTPAC BANKING,AUD,33.6400,106
015362,01W,20140718,WESTPAC BANKING,AUD,33.9000,106
015362,01W,20140721,WESTPAC BANKING,AUD,33.9000,106
015362,01W,20140722,WESTPAC BANKING,AUD,33.9400,106
