gvkey,iid,datadate,tic,cusip,conm,curcdd,prccd,exchg,cik
15633,1,20150102,RY,780087102,ROYAL BANK OF CANADA,USD,68.55,11,1000275
15633,1,20150105,RY,780087102,ROYAL BANK OF CANADA,USD,67.1,11,1000275
15633,1,20150106,RY,780087102,ROYAL BANK OF CANADA,USD,66.25,11,1000275
15633,1,20150107,RY,780087102,ROYAL BANK OF CANADA,USD,66.24,11,1000275
15633,1,20150108,RY,780087102,ROYAL BANK OF CANADA,USD,66.61,11,1000275
15633,1,20150109,RY,780087102,ROYAL BANK OF CANADA,USD,65.28,11,1000275
15633,1,20150112,RY,780087102,ROYAL BANK OF CANADA,USD,64.15,11,1000275
15633,1,20150113,RY,780087102,ROYAL BANK OF CANADA,USD,64.13,11,1000275
15633,1,20150114,RY,780087102,ROYAL BANK OF CANADA,USD,63.33,11,1000275
15633,1,20150115,RY,780087102,ROYAL BANK OF CANADA,USD,62.79,11,1000275
15633,1,20150116,RY,780087102,ROYAL BANK OF CANADA,USD,63.09,11,1000275
15633,1,20150120,RY,780087102,ROYAL BANK OF CANADA,USD,62.26,11,1000275
15633,1,20150121,RY,780087102,ROYAL BANK OF CANADA,USD,62.16,11,1000275
15633,1,20150122,RY,780087102,ROYAL BANK OF CANADA,USD,60.26,11,1000275
15633,1,20150123,RY,780087102,ROYAL BANK OF CANADA,USD,60.73,11,1000275
15633,1,20150126,RY,780087102,ROYAL BANK OF CANADA,USD,60.41,11,1000275
15633,1,20150127,RY,780087102,ROYAL BANK OF CANADA,USD,60.54,11,1000275
15633,1,20150128,RY,780087102,ROYAL BANK OF CANADA,USD,59.01,11,1000275
15633,1,20150129,RY,780087102,ROYAL BANK OF CANADA,USD,58.75,11,1000275
15633,1,20150130,RY,780087102,ROYAL BANK OF CANADA,USD,56.59,11,1000275
15633,1,20150202,RY,780087102,ROYAL BANK OF CANADA,USD,58.04,11,1000275
15633,1,20150203,RY,780087102,ROYAL BANK OF CANADA,USD,60.34,11,1000275
15633,1,20150204,RY,780087102,ROYAL BANK OF CANADA,USD,59.01,11,1000275
15633,1,20150205,RY,780087102,ROYAL BANK OF CANADA,USD,60.63,11,1000275
15633,1,20150206,RY,780087102,ROYAL BANK OF CANADA,USD,60.72,11,1000275
15633,1,20150209,RY,780087102,ROYAL BANK OF CANADA,USD,61.35,11,1000275
15633,1,20150210,RY,780087102,ROYAL BANK OF CANADA,USD,60.79,11,1000275
15633,1,20150211,RY,780087102,ROYAL BANK OF CANADA,USD,60.69,11,1000275
15633,1,20150212,RY,780087102,ROYAL BANK OF CANADA,USD,62.03,11,1000275
15633,1,20150213,RY,780087102,ROYAL BANK OF CANADA,USD,62.26,11,1000275
15633,1,20150217,RY,780087102,ROYAL BANK OF CANADA,USD,62.81,11,1000275
15633,1,20150218,RY,780087102,ROYAL BANK OF CANADA,USD,61.82,11,1000275
15633,1,20150219,RY,780087102,ROYAL BANK OF CANADA,USD,61.79,11,1000275
15633,1,20150220,RY,780087102,ROYAL BANK OF CANADA,USD,60.59,11,1000275
15633,1,20150223,RY,780087102,ROYAL BANK OF CANADA,USD,59.69,11,1000275
15633,1,20150224,RY,780087102,ROYAL BANK OF CANADA,USD,60.09,11,1000275
15633,1,20150225,RY,780087102,ROYAL BANK OF CANADA,USD,62.64,11,1000275
15633,1,20150226,RY,780087102,ROYAL BANK OF CANADA,USD,62.39,11,1000275
15633,1,20150227,RY,780087102,ROYAL BANK OF CANADA,USD,62.62,11,1000275
15633,1,20150302,RY,780087102,ROYAL BANK OF CANADA,USD,62.34,11,1000275
15633,1,20150303,RY,780087102,ROYAL BANK OF CANADA,USD,61.84,11,1000275
15633,1,20150304,RY,780087102,ROYAL BANK OF CANADA,USD,62.01,11,1000275
15633,1,20150305,RY,780087102,ROYAL BANK OF CANADA,USD,61.68,11,1000275
15633,1,20150306,RY,780087102,ROYAL BANK OF CANADA,USD,61.11,11,1000275
15633,1,20150309,RY,780087102,ROYAL BANK OF CANADA,USD,61.05,11,1000275
15633,1,20150310,RY,780087102,ROYAL BANK OF CANADA,USD,59.65,11,1000275
15633,1,20150311,RY,780087102,ROYAL BANK OF CANADA,USD,59.52,11,1000275
15633,1,20150312,RY,780087102,ROYAL BANK OF CANADA,USD,60,11,1000275
15633,1,20150313,RY,780087102,ROYAL BANK OF CANADA,USD,59.16,11,1000275
