PERMNO,DATE,n,RET,alpha,b_mkt,b_smb,b_hml,b_umd,ivol,tvol,R2,exret,TICKER
91683,20140102,252,1.12%,0.0001,0.7712,-0.0785,-0.4915,-0.021,1.27%,1.37%,14.14%,1.92%,SBH
91683,20140103,252,0.33%,0.0001,0.7693,-0.0764,-0.4897,-0.015,1.27%,1.37%,14.15%,0.36%,SBH
91683,20140106,252,-1.73%,0.0002,0.7862,-0.0546,-0.4755,-0.0452,1.27%,1.37%,14.61%,-1.38%,SBH
91683,20140107,252,0.83%,0.0002,0.7856,-0.0545,-0.4819,-0.043,1.27%,1.37%,14.68%,0.15%,SBH
91683,20140108,252,-0.89%,0.0002,0.7728,-0.0505,-0.4723,-0.0191,1.27%,1.37%,14.55%,-0.94%,SBH
91683,20140109,252,-2.79%,0.0001,0.7885,-0.0633,-0.4275,-0.0737,1.28%,1.38%,14.13%,-2.96%,SBH
91683,20140110,252,1.30%,0.0001,0.7889,-0.0455,-0.4618,-0.0804,1.28%,1.38%,14.22%,0.78%,SBH
91683,20140113,252,-2.93%,0,0.8135,-0.0555,-0.4837,-0.0787,1.28%,1.39%,15.11%,-1.89%,SBH
91683,20140114,252,1.46%,0,0.817,-0.0567,-0.4898,-0.0758,1.28%,1.40%,15.42%,0.39%,SBH
91683,20140115,252,0.14%,-0.0001,0.8103,-0.0674,-0.4875,-0.0539,1.28%,1.39%,15.46%,-0.20%,SBH
91683,20140116,252,-0.58%,-0.0002,0.8126,-0.0659,-0.4766,-0.0571,1.28%,1.39%,15.52%,-0.84%,SBH
91683,20140117,252,-3.75%,-0.0003,0.8355,-0.0728,-0.4958,-0.0744,1.30%,1.41%,15.71%,-3.41%,SBH
91683,20140121,252,-1.04%,-0.0004,0.832,-0.0859,-0.4902,-0.0665,1.30%,1.41%,15.57%,-1.26%,SBH
91683,20140122,252,0.11%,-0.0004,0.8284,-0.0873,-0.5023,-0.059,1.30%,1.41%,15.56%,0.13%,SBH
91683,20140123,252,-0.47%,-0.0005,0.8315,-0.0698,-0.4975,-0.0808,1.29%,1.41%,15.67%,-0.02%,SBH
