gvkey,iid,datadate,tic,conm,prccd
1891,1,1/2/2014,ADP,AUTOMATIC DATA PROCESSING,79.86
1891,1,1/3/2014,ADP,AUTOMATIC DATA PROCESSING,80.73
1891,1,1/6/2014,ADP,AUTOMATIC DATA PROCESSING,79.81
1891,1,1/7/2014,ADP,AUTOMATIC DATA PROCESSING,80.78
1891,1,1/8/2014,ADP,AUTOMATIC DATA PROCESSING,80.35
1891,1,1/9/2014,ADP,AUTOMATIC DATA PROCESSING,80.63
1891,1,1/10/2014,ADP,AUTOMATIC DATA PROCESSING,80.35
1891,1,1/13/2014,ADP,AUTOMATIC DATA PROCESSING,79.05
1891,1,1/14/2014,ADP,AUTOMATIC DATA PROCESSING,79.95
1891,1,1/15/2014,ADP,AUTOMATIC DATA PROCESSING,80.09
1891,1,1/16/2014,ADP,AUTOMATIC DATA PROCESSING,79.81
1891,1,1/17/2014,ADP,AUTOMATIC DATA PROCESSING,79.97
1891,1,1/21/2014,ADP,AUTOMATIC DATA PROCESSING,80.32
1891,1,1/22/2014,ADP,AUTOMATIC DATA PROCESSING,80.38
1891,1,1/23/2014,ADP,AUTOMATIC DATA PROCESSING,79.31
1891,1,1/24/2014,ADP,AUTOMATIC DATA PROCESSING,76.97
1891,1,1/27/2014,ADP,AUTOMATIC DATA PROCESSING,76.5
1891,1,1/28/2014,ADP,AUTOMATIC DATA PROCESSING,77.03
1891,1,1/29/2014,ADP,AUTOMATIC DATA PROCESSING,76.53
1891,1,1/30/2014,ADP,AUTOMATIC DATA PROCESSING,77.3
1891,1,1/31/2014,ADP,AUTOMATIC DATA PROCESSING,76.6
1891,1,2/3/2014,ADP,AUTOMATIC DATA PROCESSING,74.08
1891,1,2/4/2014,ADP,AUTOMATIC DATA PROCESSING,74.95
1891,1,2/5/2014,ADP,AUTOMATIC DATA PROCESSING,73.53
1891,1,2/6/2014,ADP,AUTOMATIC DATA PROCESSING,74.2
1891,1,2/7/2014,ADP,AUTOMATIC DATA PROCESSING,74.89
1891,1,2/10/2014,ADP,AUTOMATIC DATA PROCESSING,74.45
1891,1,2/11/2014,ADP,AUTOMATIC DATA PROCESSING,74.66
1891,1,2/12/2014,ADP,AUTOMATIC DATA PROCESSING,75.58
1891,1,2/13/2014,ADP,AUTOMATIC DATA PROCESSING,76.21
1891,1,2/14/2014,ADP,AUTOMATIC DATA PROCESSING,76.27
1891,1,2/18/2014,ADP,AUTOMATIC DATA PROCESSING,76.49
1891,1,2/19/2014,ADP,AUTOMATIC DATA PROCESSING,76.15
1891,1,2/20/2014,ADP,AUTOMATIC DATA PROCESSING,76.51
1891,1,2/21/2014,ADP,AUTOMATIC DATA PROCESSING,76.2
1891,1,2/24/2014,ADP,AUTOMATIC DATA PROCESSING,76.8
1891,1,2/25/2014,ADP,AUTOMATIC DATA PROCESSING,77.01
1891,1,2/26/2014,ADP,AUTOMATIC DATA PROCESSING,77.42
1891,1,2/27/2014,ADP,AUTOMATIC DATA PROCESSING,77.72
1891,1,2/28/2014,ADP,AUTOMATIC DATA PROCESSING,77.78
1891,1,3/3/2014,ADP,AUTOMATIC DATA PROCESSING,76.67
1891,1,3/4/2014,ADP,AUTOMATIC DATA PROCESSING,78.45
1891,1,3/5/2014,ADP,AUTOMATIC DATA PROCESSING,77.72
1891,1,3/6/2014,ADP,AUTOMATIC DATA PROCESSING,78.03
1891,1,3/7/2014,ADP,AUTOMATIC DATA PROCESSING,78.56
1891,1,3/10/2014,ADP,AUTOMATIC DATA PROCESSING,78.21
1891,1,3/11/2014,ADP,AUTOMATIC DATA PROCESSING,77.9
1891,1,3/12/2014,ADP,AUTOMATIC DATA PROCESSING,77.69
1891,1,3/13/2014,ADP,AUTOMATIC DATA PROCESSING,76.99
1891,1,3/14/2014,ADP,AUTOMATIC DATA PROCESSING,77.55
1891,1,3/17/2014,ADP,AUTOMATIC DATA PROCESSING,78.49
1891,1,3/18/2014,ADP,AUTOMATIC DATA PROCESSING,78.99
1891,1,3/19/2014,ADP,AUTOMATIC DATA PROCESSING,78.29
1891,1,3/20/2014,ADP,AUTOMATIC DATA PROCESSING,78.34
1891,1,3/21/2014,ADP,AUTOMATIC DATA PROCESSING,77.75
1891,1,3/24/2014,ADP,AUTOMATIC DATA PROCESSING,76.45
1891,1,3/25/2014,ADP,AUTOMATIC DATA PROCESSING,76.68
1891,1,3/26/2014,ADP,AUTOMATIC DATA PROCESSING,76.2
1891,1,3/27/2014,ADP,AUTOMATIC DATA PROCESSING,76.67
1891,1,3/28/2014,ADP,AUTOMATIC DATA PROCESSING,76.95
1891,1,3/31/2014,ADP,AUTOMATIC DATA PROCESSING,77.26
1891,1,4/1/2014,ADP,AUTOMATIC DATA PROCESSING,77.5
1891,1,4/2/2014,ADP,AUTOMATIC DATA PROCESSING,77.67
1891,1,4/3/2014,ADP,AUTOMATIC DATA PROCESSING,77.37
1891,1,4/4/2014,ADP,AUTOMATIC DATA PROCESSING,75.82
1891,1,4/7/2014,ADP,AUTOMATIC DATA PROCESSING,75.27
1891,1,4/8/2014,ADP,AUTOMATIC DATA PROCESSING,75.56
1891,1,4/9/2014,ADP,AUTOMATIC DATA PROCESSING,75.88
1891,1,4/10/2014,ADP,AUTOMATIC DATA PROCESSING,75.22
1891,1,4/11/2014,ADP,AUTOMATIC DATA PROCESSING,73.73
1891,1,4/14/2014,ADP,AUTOMATIC DATA PROCESSING,74.24
1891,1,4/15/2014,ADP,AUTOMATIC DATA PROCESSING,75.08
1891,1,4/16/2014,ADP,AUTOMATIC DATA PROCESSING,75.43
1891,1,4/17/2014,ADP,AUTOMATIC DATA PROCESSING,76.31
1891,1,4/21/2014,ADP,AUTOMATIC DATA PROCESSING,76.06
1891,1,4/22/2014,ADP,AUTOMATIC DATA PROCESSING,76.33
1891,1,4/23/2014,ADP,AUTOMATIC DATA PROCESSING,76.29
1891,1,4/24/2014,ADP,AUTOMATIC DATA PROCESSING,76.62
1891,1,4/25/2014,ADP,AUTOMATIC DATA PROCESSING,75.66
1891,1,4/28/2014,ADP,AUTOMATIC DATA PROCESSING,75.68
1891,1,4/29/2014,ADP,AUTOMATIC DATA PROCESSING,76.99
1891,1,4/30/2014,ADP,AUTOMATIC DATA PROCESSING,77.96
1891,1,5/1/2014,ADP,AUTOMATIC DATA PROCESSING,77.62
1891,1,5/2/2014,ADP,AUTOMATIC DATA PROCESSING,77.54
1891,1,5/5/2014,ADP,AUTOMATIC DATA PROCESSING,77.87
1891,1,5/6/2014,ADP,AUTOMATIC DATA PROCESSING,77.06
1891,1,5/7/2014,ADP,AUTOMATIC DATA PROCESSING,77.46
1891,1,5/8/2014,ADP,AUTOMATIC DATA PROCESSING,77.85
1891,1,5/9/2014,ADP,AUTOMATIC DATA PROCESSING,78.07
1891,1,5/12/2014,ADP,AUTOMATIC DATA PROCESSING,78.89
1891,1,5/13/2014,ADP,AUTOMATIC DATA PROCESSING,78.92
1891,1,5/14/2014,ADP,AUTOMATIC DATA PROCESSING,78.09
1891,1,5/15/2014,ADP,AUTOMATIC DATA PROCESSING,76.75
1891,1,5/16/2014,ADP,AUTOMATIC DATA PROCESSING,77.81
1891,1,5/19/2014,ADP,AUTOMATIC DATA PROCESSING,78.05
1891,1,5/20/2014,ADP,AUTOMATIC DATA PROCESSING,77.56
1891,1,5/21/2014,ADP,AUTOMATIC DATA PROCESSING,77.72
1891,1,5/22/2014,ADP,AUTOMATIC DATA PROCESSING,78.08
1891,1,5/23/2014,ADP,AUTOMATIC DATA PROCESSING,78.85
1891,1,5/27/2014,ADP,AUTOMATIC DATA PROCESSING,79.3
1891,1,5/28/2014,ADP,AUTOMATIC DATA PROCESSING,78.87
1891,1,5/29/2014,ADP,AUTOMATIC DATA PROCESSING,79.56
1891,1,5/30/2014,ADP,AUTOMATIC DATA PROCESSING,79.68
1891,1,6/2/2014,ADP,AUTOMATIC DATA PROCESSING,79.38
1891,1,6/3/2014,ADP,AUTOMATIC DATA PROCESSING,78.71
1891,1,6/4/2014,ADP,AUTOMATIC DATA PROCESSING,78.83
1891,1,6/5/2014,ADP,AUTOMATIC DATA PROCESSING,78.7
1891,1,6/6/2014,ADP,AUTOMATIC DATA PROCESSING,79.61
1891,1,6/9/2014,ADP,AUTOMATIC DATA PROCESSING,80
1891,1,6/10/2014,ADP,AUTOMATIC DATA PROCESSING,79.4
1891,1,6/11/2014,ADP,AUTOMATIC DATA PROCESSING,78.54
1891,1,6/12/2014,ADP,AUTOMATIC DATA PROCESSING,78.25
1891,1,6/13/2014,ADP,AUTOMATIC DATA PROCESSING,78.81
1891,1,6/16/2014,ADP,AUTOMATIC DATA PROCESSING,78.65
1891,1,6/17/2014,ADP,AUTOMATIC DATA PROCESSING,78.22
1891,1,6/18/2014,ADP,AUTOMATIC DATA PROCESSING,78.61
1891,1,6/19/2014,ADP,AUTOMATIC DATA PROCESSING,78.46
1891,1,6/20/2014,ADP,AUTOMATIC DATA PROCESSING,79.45
1891,1,6/23/2014,ADP,AUTOMATIC DATA PROCESSING,79.22
1891,1,6/24/2014,ADP,AUTOMATIC DATA PROCESSING,79.06
1891,1,6/25/2014,ADP,AUTOMATIC DATA PROCESSING,79.25
1891,1,6/26/2014,ADP,AUTOMATIC DATA PROCESSING,79.11
1891,1,6/27/2014,ADP,AUTOMATIC DATA PROCESSING,79.48
1891,1,6/30/2014,ADP,AUTOMATIC DATA PROCESSING,79.28
1891,1,7/1/2014,ADP,AUTOMATIC DATA PROCESSING,80.37
1891,1,7/2/2014,ADP,AUTOMATIC DATA PROCESSING,80.22
1891,1,7/3/2014,ADP,AUTOMATIC DATA PROCESSING,80.59
1891,1,7/7/2014,ADP,AUTOMATIC DATA PROCESSING,80.44
