PERMNO,DATE,n,RET,alpha,b_mkt,b_smb,b_hml,b_umd,ivol,tvol,R2,exret,TICKER
91683,20140102,252,1.1247%,0.0001,0.7712,-0.0785,-0.4915,-0.0210,1.2726%,1.3734%,14.1419%,1.9171%,SBH
91683,20140103,252,0.3271%,0.0001,0.7693,-0.0764,-0.4897,-0.0150,1.2726%,1.3735%,14.1461%,0.3619%,SBH
91683,20140106,252,-1.7281%,0.0002,0.7862,-0.0546,-0.4755,-0.0452,1.2677%,1.3718%,14.6065%,-1.3844%,SBH
91683,20140107,252,0.8295%,0.0002,0.7856,-0.0545,-0.4819,-0.0430,1.2676%,1.3723%,14.6812%,0.1466%,SBH
91683,20140108,252,-0.8884%,0.0002,0.7728,-0.0505,-0.4723,-0.0191,1.2655%,1.3690%,14.5536%,-0.9448%,SBH
91683,20140109,252,-2.7888%,0.0001,0.7885,-0.0633,-0.4275,-0.0737,1.2781%,1.3792%,14.1300%,-2.9601%,SBH
91683,20140110,252,1.2978%,0.0001,0.7889,-0.0455,-0.4618,-0.0804,1.2786%,1.3806%,14.2236%,0.7767%,SBH
91683,20140113,252,-2.9332%,-0.0000,0.8135,-0.0555,-0.4837,-0.0787,1.2840%,1.3936%,15.1103%,-1.8911%,SBH
91683,20140114,252,1.4588%,-0.0000,0.8170,-0.0567,-0.4898,-0.0758,1.2841%,1.3963%,15.4171%,0.3928%,SBH
91683,20140115,252,0.1369%,-0.0001,0.8103,-0.0674,-0.4875,-0.0539,1.2795%,1.3916%,15.4648%,-0.2040%,SBH
91683,20140116,252,-0.5812%,-0.0002,0.8126,-0.0659,-0.4766,-0.0571,1.2786%,1.3911%,15.5174%,-0.8396%,SBH
91683,20140117,252,-3.7483%,-0.0003,0.8355,-0.0728,-0.4958,-0.0744,1.2961%,1.4117%,15.7110%,-3.4109%,SBH
91683,20140121,252,-1.0361%,-0.0004,0.8320,-0.0859,-0.4902,-0.0665,1.2974%,1.4120%,15.5677%,-1.2619%,SBH
91683,20140122,252,0.1083%,-0.0004,0.8284,-0.0873,-0.5023,-0.0590,1.2963%,1.4107%,15.5589%,0.1289%,SBH
91683,20140123,252,-0.4688%,-0.0005,0.8315,-0.0698,-0.4975,-0.0808,1.2914%,1.4063%,15.6707%,-0.0239%,SBH
91683,20140124,252,0.2536%,-0.0004,0.7879,-0.0763,-0.4621,-0.0632,1.2958%,1.4042%,14.8505%,2.0761%,SBH
91683,20140127,252,-0.0723%,-0.0004,0.7790,-0.0829,-0.4385,-0.0566,1.2953%,1.4017%,14.6052%,0.5520%,SBH
91683,20140128,252,1.7722%,-0.0003,0.7766,-0.0742,-0.4326,-0.0393,1.2972%,1.4049%,14.7454%,1.2536%,SBH
91683,20140129,252,-1.2082%,-0.0003,0.7796,-0.0765,-0.4327,-0.0379,1.2972%,1.4070%,15.0023%,-0.3161%,SBH
91683,20140130,252,1.1151%,-0.0003,0.7793,-0.0805,-0.4329,-0.0345,1.2972%,1.4083%,15.1603%,0.0530%,SBH
91683,20140131,252,0.9605%,-0.0003,0.7729,-0.0998,-0.4571,-0.0180,1.2986%,1.4089%,15.0494%,1.3050%,SBH
91683,20140203,252,-2.9246%,-0.0004,0.7765,-0.0839,-0.4952,-0.0268,1.2914%,1.4092%,16.0233%,-0.9653%,SBH
91683,20140204,252,1.1252%,-0.0003,0.7586,-0.0846,-0.4974,-0.0081,1.2877%,1.4020%,15.6364%,0.4862%,SBH
91683,20140205,252,0.3230%,-0.0003,0.7604,-0.0947,-0.4930,-0.0085,1.2882%,1.4018%,15.5477%,0.5453%,SBH
91683,20140206,252,7.1914%,-0.0001,0.8484,-0.2198,-0.4817,-0.0485,1.3477%,1.4726%,16.2428%,6.3401%,SBH
91683,20140207,252,-1.1682%,-0.0001,0.8123,-0.1830,-0.4007,-0.0528,1.3496%,1.4663%,15.2915%,-2.6201%,SBH
91683,20140210,252,-0.7430%,-0.0002,0.7842,-0.1750,-0.3461,-0.0108,1.3401%,1.4533%,14.9659%,-1.0310%,SBH
91683,20140211,252,-0.2041%,-0.0002,0.7676,-0.1640,-0.3202,0.0021,1.3369%,1.4478%,14.7280%,-1.0087%,SBH
91683,20140212,252,-1.7388%,-0.0002,0.7716,-0.1735,-0.3145,-0.0062,1.3417%,1.4520%,14.6227%,-1.8116%,SBH
91683,20140213,252,-0.1041%,-0.0003,0.7719,-0.1833,-0.3149,-0.0089,1.3416%,1.4516%,14.5787%,-0.5590%,SBH
91683,20140214,252,-1.3199%,-0.0004,0.7621,-0.1720,-0.3344,0.0063,1.3448%,1.4539%,14.4417%,-1.5948%,SBH
91683,20140218,252,-0.9856%,-0.0005,0.7861,-0.1974,-0.3381,-0.0444,1.3374%,1.4479%,14.6831%,-1.1095%,SBH
91683,20140219,252,0.7110%,-0.0005,0.7810,-0.2048,-0.3587,-0.0476,1.3390%,1.4475%,14.4379%,1.0875%,SBH
91683,20140220,252,0.0000%,-0.0005,0.7846,-0.2045,-0.3495,-0.0535,1.3390%,1.4473%,14.4035%,-0.4656%,SBH
91683,20140221,252,-0.4589%,-0.0005,0.7850,-0.2081,-0.3505,-0.0548,1.3390%,1.4469%,14.3532%,-0.3172%,SBH
91683,20140224,252,1.0638%,-0.0005,0.7852,-0.2062,-0.3413,-0.0496,1.3399%,1.4478%,14.3489%,0.7026%,SBH
91683,20140225,252,-1.7544%,-0.0005,0.7800,-0.2080,-0.3081,-0.0451,1.3444%,1.4486%,13.8725%,-1.8474%,SBH
91683,20140226,252,1.0000%,-0.0005,0.7778,-0.1869,-0.3098,-0.0528,1.3459%,1.4493%,13.7555%,1.0165%,SBH
91683,20140227,252,1.8034%,-0.0005,0.7807,-0.1792,-0.3120,-0.0601,1.3489%,1.4515%,13.6283%,1.4182%,SBH
91683,20140228,252,-0.3126%,-0.0005,0.7824,-0.1760,-0.3177,-0.0644,1.3484%,1.4512%,13.6640%,-0.3155%,SBH
91683,20140303,252,-1.3240%,-0.0005,0.7894,-0.1801,-0.3242,-0.0707,1.3491%,1.4536%,13.8705%,-0.7178%,SBH
91683,20140304,252,0.4943%,-0.0006,0.7948,-0.1694,-0.3369,-0.1192,1.3470%,1.4507%,13.7956%,-0.6050%,SBH
91683,20140305,252,1.3001%,-0.0005,0.7872,-0.1796,-0.3159,-0.0989,1.3499%,1.4520%,13.5593%,1.3801%,SBH
91683,20140306,252,-0.0694%,-0.0007,0.7830,-0.1923,-0.3776,-0.0788,1.3319%,1.4361%,13.9737%,-0.0651%,SBH
91683,20140307,252,-0.7289%,-0.0007,0.7825,-0.1941,-0.3915,-0.0750,1.3323%,1.4367%,14.0121%,-0.6008%,SBH
91683,20140310,252,-0.7343%,-0.0007,0.7830,-0.1933,-0.3925,-0.0754,1.3328%,1.4372%,14.0072%,-0.6610%,SBH
91683,20140311,252,-1.5498%,-0.0008,0.7892,-0.1822,-0.3816,-0.0821,1.3346%,1.4405%,14.1556%,-1.2489%,SBH
91683,20140312,252,-0.0716%,-0.0007,0.7888,-0.1802,-0.3878,-0.0893,1.3325%,1.4378%,14.1171%,-0.1865%,SBH
91683,20140313,252,-1.1815%,-0.0008,0.7902,-0.1824,-0.3908,-0.0902,1.3322%,1.4394%,14.3433%,-0.1705%,SBH
91683,20140314,252,-0.5073%,-0.0007,0.7943,-0.1819,-0.3857,-0.0972,1.3320%,1.4397%,14.4040%,-0.2890%,SBH
91683,20140317,252,1.0561%,-0.0007,0.7980,-0.1860,-0.3838,-0.1009,1.3321%,1.4408%,14.5235%,0.2972%,SBH
91683,20140318,252,1.4414%,-0.0007,0.7970,-0.1732,-0.3995,-0.0978,1.3327%,1.4424%,14.6294%,0.8150%,SBH
91683,20140319,252,1.6341%,-0.0006,0.7850,-0.1690,-0.3435,-0.0955,1.3392%,1.4452%,14.1374%,2.3028%,SBH
91683,20140320,252,-0.8389%,-0.0007,0.7747,-0.1648,-0.3774,-0.1004,1.3348%,1.4384%,13.8773%,-1.0053%,SBH
91683,20140321,252,0.1762%,-0.0007,0.7774,-0.1629,-0.3594,-0.1171,1.3355%,1.4378%,13.7176%,0.6360%,SBH
91683,20140324,252,-0.9500%,-0.0007,0.7802,-0.1663,-0.3739,-0.1135,1.3354%,1.4390%,13.8752%,-0.3736%,SBH
91683,20140325,252,-0.6750%,-0.0007,0.7785,-0.1652,-0.3762,-0.1076,1.3358%,1.4394%,13.8793%,-0.9405%,SBH
91683,20140326,252,-1.4664%,-0.0008,0.7802,-0.1537,-0.3827,-0.0958,1.3365%,1.4423%,14.1249%,-0.9508%,SBH
91683,20140327,252,0.1815%,-0.0007,0.7794,-0.1519,-0.3981,-0.0974,1.3344%,1.4403%,14.1635%,0.1754%,SBH
